"","YEAR","CTYNAME","TOTVOTERS","MIDTERM"
"1",2002,"aitkin",8106,1
"2",2006,"aitkin",8197,1
"3",2010,"aitkin",7425,1
"4",2014,"aitkin",7307,1
"5",2002,"anoka",140361,1
"6",2006,"anoka",133965,1
"7",2010,"anoka",131703,1
"8",2014,"anoka",118274,1
"9",2002,"becker",13539,1
"10",2006,"becker",13481,1
"11",2010,"becker",11904,1
"12",2014,"becker",12124,1
"13",2002,"beltrami",15547,1
"14",2006,"beltrami",17139,1
"15",2010,"beltrami",16187,1
"16",2014,"beltrami",15567,1
"17",2002,"benton",13724,1
"18",2006,"benton",14362,1
"19",2010,"benton",13827,1
"20",2014,"benton",13292,1
"21",2002,"big stone",2741,1
"22",2006,"big stone",2785,1
"23",2010,"big stone",2233,1
"24",2014,"big stone",2161,1
"25",2002,"blue earth",24306,1
"26",2006,"blue earth",25680,1
"27",2010,"blue earth",22565,1
"28",2014,"blue earth",20201,1
"29",2002,"brown",11560,1
"30",2006,"brown",11753,1
"31",2010,"brown",10517,1
"32",2014,"brown",9394,1
"33",2002,"carlton",14389,1
"34",2006,"carlton",14259,1
"35",2010,"carlton",13780,1
"36",2014,"carlton",13970,1
"37",2002,"carver",35007,1
"38",2006,"carver",36438,1
"39",2010,"carver",37198,1
"40",2014,"carver",37124,1
"41",2002,"cass",12734,1
"42",2006,"cass",12620,1
"43",2010,"cass",13081,1
"44",2014,"cass",12364,1
"45",2002,"chippewa",5965,1
"46",2006,"chippewa",5541,1
"47",2010,"chippewa",4905,1
"48",2014,"chippewa",4696,1
"49",2002,"chisago",22253,1
"50",2006,"chisago",22007,1
"51",2010,"chisago",22990,1
"52",2014,"chisago",20364,1
"53",2002,"clay",20722,1
"54",2006,"clay",19685,1
"55",2010,"clay",19273,1
"56",2014,"clay",18020,1
"57",2002,"clearwater",3717,1
"58",2006,"clearwater",3843,1
"59",2010,"clearwater",3590,1
"60",2014,"clearwater",2937,1
"61",2002,"cook",2909,1
"62",2006,"cook",2924,1
"63",2010,"cook",2858,1
"64",2014,"cook",2948,1
"65",2002,"cottonwood",5659,1
"66",2006,"cottonwood",5422,1
"67",2010,"cottonwood",4657,1
"68",2014,"cottonwood",4330,1
"69",2002,"crow wing",26882,1
"70",2006,"crow wing",27670,1
"71",2010,"crow wing",27658,1
"72",2014,"crow wing",27065,1
"73",2002,"dakota",170671,1
"74",2006,"dakota",167465,1
"75",2010,"dakota",162919,1
"76",2014,"dakota",152975,1
"77",2002,"dodge",8302,1
"78",2006,"dodge",7694,1
"79",2010,"dodge",7988,1
"80",2014,"dodge",7765,1
"81",2002,"douglas",15629,1
"82",2006,"douglas",16655,1
"83",2010,"douglas",15669,1
"84",2014,"douglas",15451,1
"85",2002,"faribault",7753,1
"86",2006,"faribault",7291,1
"87",2010,"faribault",6595,1
"88",2014,"faribault",5460,1
"89",2002,"fillmore",9450,1
"90",2006,"fillmore",9426,1
"91",2010,"fillmore",8466,1
"92",2014,"fillmore",8476,1
"93",2002,"freeborn",15987,1
"94",2006,"freeborn",15252,1
"95",2010,"freeborn",13564,1
"96",2014,"freeborn",12526,1
"97",2002,"goodhue",20859,1
"98",2006,"goodhue",20326,1
"99",2010,"goodhue",19583,1
"100",2014,"goodhue",17354,1
"101",2002,"grant",3325,1
"102",2006,"grant",3183,1
"103",2010,"grant",3069,1
"104",2014,"grant",2888,1
"105",2002,"hennepin",521318,1
"106",2006,"hennepin",494329,1
"107",2010,"hennepin",470477,1
"108",2014,"hennepin",451840,1
"109",2002,"houston",8857,1
"110",2006,"houston",9154,1
"111",2010,"houston",7952,1
"112",2014,"houston",7995,1
"113",2002,"hubbard",9360,1
"114",2006,"hubbard",9954,1
"115",2010,"hubbard",9822,1
"116",2014,"hubbard",8757,1
"117",2002,"isanti",15018,1
"118",2006,"isanti",14746,1
"119",2010,"isanti",14873,1
"120",2014,"isanti",13991,1
"121",2002,"itasca",20009,1
"122",2006,"itasca",19577,1
"123",2010,"itasca",19835,1
"124",2014,"itasca",19117,1
"125",2002,"jackson",5139,1
"126",2006,"jackson",5029,1
"127",2010,"jackson",4363,1
"128",2014,"jackson",3905,1
"129",2002,"kanabec",6533,1
"130",2006,"kanabec",6587,1
"131",2010,"kanabec",6593,1
"132",2014,"kanabec",6292,1
"133",2002,"kandiyohi",18309,1
"134",2006,"kandiyohi",18054,1
"135",2010,"kandiyohi",17447,1
"136",2014,"kandiyohi",16802,1
"137",2002,"kittson",2467,1
"138",2006,"kittson",2207,1
"139",2010,"kittson",2006,1
"140",2014,"kittson",1974,1
"141",2002,"koochiching",6155,1
"142",2006,"koochiching",5731,1
"143",2010,"koochiching",5119,1
"144",2014,"koochiching",5406,1
"145",2002,"lac qui parle",4098,1
"146",2006,"lac qui parle",3941,1
"147",2010,"lac qui parle",3660,1
"148",2014,"lac qui parle",2998,1
"149",2002,"lake",6148,1
"150",2006,"lake",6040,1
"151",2010,"lake",5614,1
"152",2014,"lake",5165,1
"153",2002,"lake of the woods",2234,1
"154",2006,"lake of the woods",1961,1
"155",2010,"lake of the woods",1907,1
"156",2014,"lake of the woods",1930,1
"157",2002,"le sueur",12022,1
"158",2006,"le sueur",11565,1
"159",2010,"le sueur",11679,1
"160",2014,"le sueur",9788,1
"161",2002,"lincoln",3114,1
"162",2006,"lincoln",2721,1
"163",2010,"lincoln",2478,1
"164",2014,"lincoln",2368,1
"165",2002,"lyon",10154,1
"166",2006,"lyon",9543,1
"167",2010,"lyon",9002,1
"168",2014,"lyon",8423,1
"169",2002,"mahnomen",2397,1
"170",2006,"mahnomen",2256,1
"171",2010,"mahnomen",1943,1
"172",2014,"mahnomen",1754,1
"173",2002,"marshall",4923,1
"174",2006,"marshall",4474,1
"175",2010,"marshall",4316,1
"176",2014,"marshall",4164,1
"177",2002,"martin",9679,1
"178",2006,"martin",9069,1
"179",2010,"martin",8827,1
"180",2014,"martin",7932,1
"181",2002,"mcleod",14503,1
"182",2006,"mcleod",14762,1
"183",2010,"mcleod",13525,1
"184",2014,"mcleod",12495,1
"185",2002,"meeker",10534,1
"186",2006,"meeker",10546,1
