"","CTYNAME","Upper","Lower"
"1","aitkin",7723.59987086853,6305.41269028026
"2","anoka",139826.976269478,111625.417690528
"3","becker",13315.3617681506,10660.9508318239
"4","beltrami",18417.2823268756,14526.49294693
"5","benton",16569.2981322327,13425.2611366512
"6","big stone",2349.64517548033,1903.56548913426
"7","blue earth",26644.9863163364,20811.9141285292
"8","brown",11183.9616253669,9015.47514383856
"9","carlton",16252.2997240437,12933.2722606684
"10","carver",42304.1206121819,34079.7114363754
"11","cass",13768.2886329655,11267.8761180004
"12","chippewa",5465.99487726584,4431.68227903974
"13","chisago",24157.8713756874,19430.713648158
"14","clay",24256.0296219088,18821.3757801796
"15","clearwater",3677.59339427118,2929.61152902528
"16","cook",2545.30517304799,2084.54069832279
"17","cottonwood",4750.12318716185,3786.84401843001
"18","crow wing",31735.8608856269,26391.0084355909
"19","dakota",176645.059396851,140646.54994717
"20","dodge",8497.03040431966,6783.23701050331
"21","douglas",17536.1283190285,14458.1452480835
"22","faribault",6455.4997946636,5277.71991674319
"23","fillmore",9422.02440261263,7739.49663518497
"24","freeborn",13770.4375595456,11338.9869466823
"25","goodhue",21143.808138757,17408.1336008115
"26","grant",3065.70374707896,2567.34589306154
"27","hennepin",497478.136403891,387206.569235965
"28","houston",9219.13170081394,7675.41480572089
"29","hubbard",10234.2399213373,8481.38609588507
"30","isanti",16441.7117062653,13340.696297208
"31","itasca",22092.8111774437,18116.1012004079
"32","jackson",4451.1540646865,3686.58718349954
"33","kanabec",7383.84265160092,6046.41280670796
"34","kandiyohi",18028.0772881438,14885.3866606084
"35","kittson",1990.16968634826,1619.89449294562
"36","koochiching",5733.07961204915,4626.48171440426
"37","lac qui parle",3247.9246294025,2678.77377945982
"38","lake",5612.15240519924,4635.61673227801
"39","lake of the woods",1955.34093963458,1589.38890072115
"40","le sueur",11902.9525242537,9802.74137597411
"41","lincoln",2766.32976108295,2287.0120672602
"42","lyon",10379.2364623129,8464.13165656426
"43","mahnomen",2121.47246094804,1609.22983384847
"44","marshall",4355.70262884997,3621.97463611479
"45","martin",8812.12378820839,7094.59328166291
"46","mcleod",15185.3291390024,12336.2960596758
"47","meeker",10232.761095288,8481.6276527538
"48","mille lacs",11124.8237568026,9097.71656000239
"49","morrison",14676.2660996874,11793.0071068517
"50","mower",15203.5701033123,12244.2106187886
"51","murray",3966.09940964166,3242.83778616252
"52","nicollet",14061.784173109,11262.7804584867
"53","nobles",5956.51838950138,4473.31370131079
"54","norman",2890.15950738645,2327.90126790034
"55","olmsted",57061.6473886142,44085.2458739882
"56","otter tail",27167.0226650627,22390.3569557309
"57","pennington",5803.89828494821,4616.74726036219
"58","pine",13116.9612374231,10307.1216135279
"59","pipestone",3795.51303333011,3090.50604017606
"60","polk",12075.1679160227,9559.81685495823
"61","pope",5336.50872003875,4444.40875041136
"62","ramsey",206385.829380097,158204.99214244
"63","red lake",1722.35677715629,1393.14962949627
"64","redwood",6580.70379122621,5298.04427308917
"65","renville",6562.57094873733,5341.04387082506
"66","rice",25591.28481422,20405.78365844
"67","rock",3964.28661933066,3189.33864284326
"68","roseau",6535.33731172778,5302.27500431894
"69","scott",51837.3497183092,39726.281960993
"70","sherburne",37028.4906025441,29661.8168360439
"71","sibley",6428.09373077503,5245.22704253661
"72","stearns",61168.5543226324,48997.1508655667
"73","steele",15796.9875661605,12810.6000913954
"74","stevens",4433.37692405302,3540.90736472252
"75","st. louis",92625.7942113557,76252.1543627274
"76","swift",4404.57056581141,3615.37225063542
"77","todd",10551.1487803036,8554.6572600296
"78","traverse",1565.30549429998,1264.51335849649
"79","wabasha",9766.79415394362,8108.81130043977
"80","wadena",5817.23827935657,4694.49399851159
"81","waseca",7727.99875132606,6081.56853724859
"82","washington",107973.958039756,86826.6255872913
"83","watonwan",4404.79490241307,3597.52581069227
"84","wilkin",2886.11388057962,2287.39757239136
"85","winona",20035.2994825655,15497.6526855104
"86","wright",54773.2414699003,44656.250804275
"87","yellow medicine",4380.83403420547,3558.63776853061
