GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC04_EST_VC02,HC04_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC04_EST_VC08,HC04_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC03_EST_VC12,HC03_MOE_VC12,HC04_EST_VC12,HC04_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC03_EST_VC16,HC03_MOE_VC16,HC04_EST_VC16,HC04_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC03_EST_VC17,HC03_MOE_VC17,HC04_EST_VC17,HC04_MOE_VC17
Id,Id2,Geography,Households; Estimate; Total,Households; Margin of Error; Total,Families; Estimate; Total,Families; Margin of Error; Total,Married-couple families; Estimate; Total,Married-couple families; Margin of Error; Total,Nonfamily households; Estimate; Total,Nonfamily households; Margin of Error; Total,"Households; Estimate; Total - Less than $10,000","Households; Margin of Error; Total - Less than $10,000","Families; Estimate; Total - Less than $10,000","Families; Margin of Error; Total - Less than $10,000","Married-couple families; Estimate; Total - Less than $10,000","Married-couple families; Margin of Error; Total - Less than $10,000","Nonfamily households; Estimate; Total - Less than $10,000","Nonfamily households; Margin of Error; Total - Less than $10,000","Households; Estimate; Total - $10,000 to $14,999","Households; Margin of Error; Total - $10,000 to $14,999","Families; Estimate; Total - $10,000 to $14,999","Families; Margin of Error; Total - $10,000 to $14,999","Married-couple families; Estimate; Total - $10,000 to $14,999","Married-couple families; Margin of Error; Total - $10,000 to $14,999","Nonfamily households; Estimate; Total - $10,000 to $14,999","Nonfamily households; Margin of Error; Total - $10,000 to $14,999","Households; Estimate; Total - $15,000 to $24,999","Households; Margin of Error; Total - $15,000 to $24,999","Families; Estimate; Total - $15,000 to $24,999","Families; Margin of Error; Total - $15,000 to $24,999","Married-couple families; Estimate; Total - $15,000 to $24,999","Married-couple families; Margin of Error; Total - $15,000 to $24,999","Nonfamily households; Estimate; Total - $15,000 to $24,999","Nonfamily households; Margin of Error; Total - $15,000 to $24,999","Households; Estimate; Total - $25,000 to $34,999","Households; Margin of Error; Total - $25,000 to $34,999","Families; Estimate; Total - $25,000 to $34,999","Families; Margin of Error; Total - $25,000 to $34,999","Married-couple families; Estimate; Total - $25,000 to $34,999","Married-couple families; Margin of Error; Total - $25,000 to $34,999","Nonfamily households; Estimate; Total - $25,000 to $34,999","Nonfamily households; Margin of Error; Total - $25,000 to $34,999","Households; Estimate; Total - $35,000 to $49,999","Households; Margin of Error; Total - $35,000 to $49,999","Families; Estimate; Total - $35,000 to $49,999","Families; Margin of Error; Total - $35,000 to $49,999","Married-couple families; Estimate; Total - $35,000 to $49,999","Married-couple families; Margin of Error; Total - $35,000 to $49,999","Nonfamily households; Estimate; Total - $35,000 to $49,999","Nonfamily households; Margin of Error; Total - $35,000 to $49,999","Households; Estimate; Total - $50,000 to $74,999","Households; Margin of Error; Total - $50,000 to $74,999","Families; Estimate; Total - $50,000 to $74,999","Families; Margin of Error; Total - $50,000 to $74,999","Married-couple families; Estimate; Total - $50,000 to $74,999","Married-couple families; Margin of Error; Total - $50,000 to $74,999","Nonfamily households; Estimate; Total - $50,000 to $74,999","Nonfamily households; Margin of Error; Total - $50,000 to $74,999","Households; Estimate; Total - $75,000 to $99,999","Households; Margin of Error; Total - $75,000 to $99,999","Families; Estimate; Total - $75,000 to $99,999","Families; Margin of Error; Total - $75,000 to $99,999","Married-couple families; Estimate; Total - $75,000 to $99,999","Married-couple families; Margin of Error; Total - $75,000 to $99,999","Nonfamily households; Estimate; Total - $75,000 to $99,999","Nonfamily households; Margin of Error; Total - $75,000 to $99,999","Households; Estimate; Total - $100,000 to $149,999","Households; Margin of Error; Total - $100,000 to $149,999","Families; Estimate; Total - $100,000 to $149,999","Families; Margin of Error; Total - $100,000 to $149,999","Married-couple families; Estimate; Total - $100,000 to $149,999","Married-couple families; Margin of Error; Total - $100,000 to $149,999","Nonfamily households; Estimate; Total - $100,000 to $149,999","Nonfamily households; Margin of Error; Total - $100,000 to $149,999","Households; Estimate; Total - $150,000 to $199,999","Households; Margin of Error; Total - $150,000 to $199,999","Families; Estimate; Total - $150,000 to $199,999","Families; Margin of Error; Total - $150,000 to $199,999","Married-couple families; Estimate; Total - $150,000 to $199,999","Married-couple families; Margin of Error; Total - $150,000 to $199,999","Nonfamily households; Estimate; Total - $150,000 to $199,999","Nonfamily households; Margin of Error; Total - $150,000 to $199,999","Households; Estimate; Total - $200,000 or more","Households; Margin of Error; Total - $200,000 or more","Families; Estimate; Total - $200,000 or more","Families; Margin of Error; Total - $200,000 or more","Married-couple families; Estimate; Total - $200,000 or more","Married-couple families; Margin of Error; Total - $200,000 or more","Nonfamily households; Estimate; Total - $200,000 or more","Nonfamily households; Margin of Error; Total - $200,000 or more",Households; Estimate; Median income (dollars),Households; Margin of Error; Median income (dollars),Families; Estimate; Median income (dollars),Families; Margin of Error; Median income (dollars),Married-couple families; Estimate; Median income (dollars),Married-couple families; Margin of Error; Median income (dollars),Nonfamily households; Estimate; Median income (dollars),Nonfamily households; Margin of Error; Median income (dollars),Households; Estimate; Mean income (dollars),Households; Margin of Error; Mean income (dollars),Families; Estimate; Mean income (dollars),Families; Margin of Error; Mean income (dollars),Married-couple families; Estimate; Mean income (dollars),Married-couple families; Margin of Error; Mean income (dollars),Nonfamily households; Estimate; Mean income (dollars),Nonfamily households; Margin of Error; Mean income (dollars),Households; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Households; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Households; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months
0400000US27,27,Minnesota,2042297,7113,1330451,9270,1064699,9975,711846,8886,6.1,0.2,3.2,0.2,1.0,0.1,12.5,0.5,5.1,0.2,2.4,0.2,1.3,0.1,10.5,0.4,9.4,0.2,6.5,0.3,4.4,0.3,15.4,0.5,10.2,0.3,7.9,0.3,6.1,0.2,15.1,0.6,14.9,0.3,13.6,0.3,12.5,0.4,17.3,0.6,21.1,0.4,23.3,0.5,24.4,0.5,16.3,0.7,14.1,0.3,17.5,0.4,20.0,0.5,6.7,0.4,12.2,0.3,16.2,0.4,19.1,0.5,4.1,0.4,3.6,0.2,4.9,0.2,5.9,0.3,1.1,0.2,3.2,0.2,4.4,0.2,5.4,0.3,0.9,0.2,54023,445,66809,485,75312,571,32165,441,68637,596,81644,746,91267,941,41793,690,20.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),19.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),19.1,(X)
0500000US27003,27003,"Anoka County, Minnesota",117643,1358,85548,2349,70103,2389,32095,2118,3.7,0.8,2.1,0.8,1.0,0.7,8.2,2.4,3.1,0.6,1.8,0.7,0.8,0.6,8.5,1.9,6.2,0.9,4.9,1.1,3.2,0.8,10.4,2.2,7.3,1.1,5.0,0.9,3.4,0.8,14.8,2.5,14.3,1.5,11.9,1.5,9.9,1.6,21.5,3.4,23.4,1.7,23.7,1.9,23.6,1.9,22.4,3.2,19.4,1.3,22.6,1.7,25.3,1.9,9.2,2.2,16.3,1.2,19.8,1.6,23.2,1.9,4.1,1.4,3.8,0.8,5.0,1.1,5.9,1.3,0.2,0.4,2.4,0.7,3.0,0.8,3.6,1.0,0.6,0.5,66315,2023,75410,1916,82034,2083,40274,2365,74806,2423,83526,2853,91369,3277,46123,3300,20.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),19.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),20.9,(X)
0500000US27019,27019,"Carver County, Minnesota",31228,805,23144,1108,N,N,8084,1032,2.1,1.1,0.5,0.6,N,N,6.8,3.6,3.4,1.6,2.5,1.8,N,N,7.2,4.0,5.8,2.0,3.2,1.9,N,N,12.0,5.1,5.2,1.7,2.5,1.1,N,N,13.5,5.6,10.5,2.8,7.5,2.6,N,N,19.1,8.5,22.6,3.3,21.9,3.7,N,N,25.4,6.4,22.6,4.1,27.3,4.4,N,N,9.4,6.4,14.0,2.8,17.7,3.7,N,N,3.9,2.7,8.2,2.5,9.9,3.1,N,N,1.5,1.9,5.6,1.7,7.2,2.3,N,N,1.2,1.8,75856,6154,85075,4326,88057,5122,42056,6149,90241,5855,103795,8323,N,N,48829,6197,20.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),22.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),15.3,(X)
0500000US27037,27037,"Dakota County, Minnesota",148617,1472,103873,2469,80787,2551,44744,2571,3.9,0.7,2.5,0.8,0.4,0.3,8.0,1.6,2.6,0.6,1.2,0.5,0.9,0.5,5.2,1.2,5.4,0.9,3.7,0.9,1.9,0.8,10.2,2.0,7.6,1.0,5.0,0.9,2.6,0.7,15.1,2.5,12.8,1.2,10.2,1.3,6.8,1.1,19.7,2.9,20.9,1.5,20.3,1.7,20.1,1.9,21.4,3.2,18.3,1.2,20.6,1.8,23.4,2.1,11.3,2.1,18.6,1.5,23.6,1.9,28.3,2.4,6.4,2.4,5.9,0.7,7.8,1.1,9.3,1.2,1.3,0.7,4.0,0.6,5.1,0.7,6.4,1.0,1.3,0.7,70502,1923,83824,2090,93143,2285,43116,3080,82075,1779,93940,2355,105718,2900,51568,2524,19.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),18.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),21.4,(X)
0500000US27053,27053,"Hennepin County, Minnesota",460411,3745,266853,4974,202237,5131,193558,4982,6.0,0.6,4.0,0.7,1.0,0.3,9.9,1.2,4.8,0.5,2.2,0.5,0.6,0.2,8.6,1.0,8.4,0.6,5.1,0.6,2.5,0.5,13.2,1.0,9.6,0.6,6.9,0.7,4.8,0.6,13.9,1.2,13.9,0.8,10.8,0.9,9.1,0.9,17.9,1.2,18.9,0.9,19.5,1.1,18.9,1.3,18.5,1.4,13.2,0.7,16.5,1.0,19.0,1.2,7.7,0.9,14.1,0.7,19.4,1.0,23.8,1.3,6.3,0.8,5.3,0.4,7.4,0.6,9.4,0.7,2.2,0.6,5.7,0.5,8.4,0.7,10.8,0.9,1.9,0.4,58272,1548,77364,1749,91916,1749,38017,1304,80580,1998,100611,2959,118378,3827,50683,1639,18.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),18.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),16.6,(X)
0500000US27109,27109,"Olmsted County, Minnesota",54509,1077,36882,1489,N,N,17627,1517,3.1,1.0,1.2,0.7,N,N,7.9,2.7,3.5,1.0,1.7,0.9,N,N,7.9,2.5,8.6,1.9,4.5,1.5,N,N,17.1,4.6,9.8,1.9,7.4,1.8,N,N,15.4,4.0,14.8,2.0,11.1,2.1,N,N,22.6,5.2,22.6,2.8,23.4,3.3,N,N,21.3,4.9,15.0,2.3,20.8,3.2,N,N,2.3,1.1,12.6,2.0,16.4,2.5,N,N,3.0,1.7,5.2,1.1,7.1,1.5,N,N,1.1,1.1,4.7,1.0,6.3,1.4,N,N,1.4,1.6,61124,2147,75751,4091,82340,3922,36280,3675,77110,3352,91514,3820,N,N,44640,6775,18.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),15.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),23.2,(X)
0500000US27123,27123,"Ramsey County, Minnesota",198812,2316,113958,3156,81315,3155,84854,3235,8.4,0.9,4.4,1.0,1.1,0.5,14.5,1.8,5.0,0.7,2.6,0.7,1.1,0.5,8.6,1.5,11.5,1.0,8.1,1.2,4.8,1.1,16.5,1.7,10.1,0.9,7.5,1.1,5.4,1.0,13.6,1.6,14.0,1.0,12.9,1.4,11.4,1.4,15.5,1.8,19.1,1.3,20.6,1.7,21.2,2.2,16.7,2.0,12.4,1.0,15.0,1.5,17.6,1.6,8.4,1.3,12.5,1.0,18.1,1.4,22.8,1.8,4.4,1.2,3.7,0.5,5.6,0.9,7.6,1.2,1.2,0.5,3.3,0.5,5.2,0.9,7.1,1.2,0.5,0.3,50777,1099,66392,2061,81436,3425,32017,1195,66119,1739,82847,2905,98335,3773,41895,1993,19.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),19.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),18.0,(X)
0500000US27137,27137,"St. Louis County, Minnesota",82053,1744,48793,2233,37676,1843,33260,2044,8.7,1.3,4.2,1.2,0.7,0.5,16.8,3.0,7.9,1.4,3.2,1.1,1.7,0.9,14.9,3.0,13.8,1.4,9.0,1.4,6.7,1.3,20.9,2.9,11.6,1.6,11.5,2.0,8.9,1.7,13.2,2.9,14.8,1.7,15.4,2.0,15.5,2.0,13.5,2.4,20.4,1.7,25.1,2.4,27.6,2.9,12.3,2.2,11.8,1.5,15.6,1.9,18.9,2.3,5.1,1.7,7.7,1.0,10.7,1.5,13.3,1.8,2.9,1.3,2.0,0.5,3.1,0.8,3.9,1.1,0.3,0.4,1.4,0.5,2.3,0.8,2.8,0.9,0.1,0.1,43078,2056,56301,1644,64623,2533,22278,2562,53832,1710,67244,3075,76783,3359,32100,1985,23.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),22.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),23.9,(X)
0500000US27139,27139,"Scott County, Minnesota",42046,893,32181,1151,N,N,9865,1204,1.3,0.6,1.4,1.2,N,N,3.2,1.6,2.4,1.1,1.5,0.9,N,N,3.9,2.3,3.5,1.1,2.7,1.1,N,N,7.3,2.8,5.4,1.3,3.6,1.2,N,N,13.6,4.2,12.7,1.8,9.0,1.8,N,N,25.5,5.9,21.3,2.7,19.7,3.0,N,N,23.9,6.0,20.6,2.5,22.5,2.9,N,N,14.3,4.4,21.8,2.7,26.1,3.1,N,N,4.9,2.5,7.3,1.6,8.6,2.0,N,N,2.9,2.0,3.8,1.0,4.8,1.3,N,N,0.4,0.7,79262,3830,87992,3520,93335,3412,44528,4248,89457,4036,98581,5012,N,N,55715,4778,15.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),14.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),18.1,(X)
