POP.GEO.id,POP.GEO.id2,POP.GEO.display-label,POP.HD01_VD01,POP.HD02_VD01,POP.YEAR,CTYNAME
0500000US27001,27001,"Aitkin County, Minnesota",15964,*****,2014,aitkin
0500000US27003,27003,"Anoka County, Minnesota",336316,*****,2014,anoka
0500000US27005,27005,"Becker County, Minnesota",32971,*****,2014,becker
0500000US27007,27007,"Beltrami County, Minnesota",45236,*****,2014,beltrami
0500000US27009,27009,"Benton County, Minnesota",38980,*****,2014,benton
0500000US27011,27011,"Big Stone County, Minnesota",5180,*****,2014,big stone
0500000US27013,27013,"Blue Earth County, Minnesota",64720,*****,2014,blue earth
0500000US27015,27015,"Brown County, Minnesota",25513,*****,2014,brown
0500000US27017,27017,"Carlton County, Minnesota",35430,*****,2014,carlton
0500000US27019,27019,"Carver County, Minnesota",94212,*****,2014,carver
0500000US27021,27021,"Cass County, Minnesota",28499,*****,2014,cass
0500000US27023,27023,"Chippewa County, Minnesota",12235,*****,2014,chippewa
0500000US27025,27025,"Chisago County, Minnesota",53798,*****,2014,chisago
0500000US27027,27027,"Clay County, Minnesota",60249,*****,2014,clay
0500000US27029,27029,"Clearwater County, Minnesota",8735,*****,2014,clearwater
0500000US27031,27031,"Cook County, Minnesota",5197,*****,2014,cook
0500000US27033,27033,"Cottonwood County, Minnesota",11676,*****,2014,cottonwood
0500000US27035,27035,"Crow Wing County, Minnesota",62900,*****,2014,crow wing
0500000US27037,27037,"Dakota County, Minnesota",405521,*****,2014,dakota
0500000US27039,27039,"Dodge County, Minnesota",20246,*****,2014,dodge
0500000US27041,27041,"Douglas County, Minnesota",36413,*****,2014,douglas
0500000US27043,27043,"Faribault County, Minnesota",14337,*****,2014,faribault
0500000US27045,27045,"Fillmore County, Minnesota",20842,*****,2014,fillmore
0500000US27047,27047,"Freeborn County, Minnesota",31034,*****,2014,freeborn
0500000US27049,27049,"Goodhue County, Minnesota",46336,*****,2014,goodhue
0500000US27051,27051,"Grant County, Minnesota",5977,*****,2014,grant
0500000US27053,27053,"Hennepin County, Minnesota",1184091,*****,2014,hennepin
0500000US27055,27055,"Houston County, Minnesota",18859,*****,2014,houston
0500000US27057,27057,"Hubbard County, Minnesota",20518,*****,2014,hubbard
0500000US27059,27059,"Isanti County, Minnesota",38190,*****,2014,isanti
0500000US27061,27061,"Itasca County, Minnesota",45303,*****,2014,itasca
0500000US27063,27063,"Jackson County, Minnesota",10260,*****,2014,jackson
0500000US27065,27065,"Kanabec County, Minnesota",16084,*****,2014,kanabec
0500000US27067,27067,"Kandiyohi County, Minnesota",42316,*****,2014,kandiyohi
0500000US27069,27069,"Kittson County, Minnesota",4501,*****,2014,kittson
0500000US27071,27071,"Koochiching County, Minnesota",13138,*****,2014,koochiching
0500000US27073,27073,"Lac qui Parle County, Minnesota",7096,*****,2014,lac qui parle
0500000US27075,27075,"Lake County, Minnesota",10791,*****,2014,lake
0500000US27077,27077,"Lake of the Woods County, Minnesota",3976,*****,2014,lake of the woods
0500000US27079,27079,"Le Sueur County, Minnesota",27717,*****,2014,le sueur
0500000US27081,27081,"Lincoln County, Minnesota",5821,*****,2014,lincoln
