"","CTYNAME","Citizen: Total","Citizen: US Born","Citizen: Puerto Rico/US Islands Born","Citizen: Born Abroad","Citizen: Naturalization","Not Citizen","YEAR"
"1","Anoka County, Minnesota","327005","302384","173","1632","12188","10628",2006
"2","Carver County, Minnesota","87545","83296","73","276","1677","2223",2006
"3","Dakota County, Minnesota","388001","356136","1085","1621","14803","14356",2006
"4","Hennepin County, Minnesota","1122093","976633","1081","6497","53978","83904",2006
"5","Olmsted County, Minnesota","137521","124932","374","720","5834","5661",2006
"6","Ramsey County, Minnesota","493215","436876","321","2625","23165","30228",2006
"7","St. Louis County, Minnesota","196067","190974","121","1233","2016","1723",2006
"8","Scott County, Minnesota","124092","112122","106","1034","4282","6548",2006
"9","Sherburne County, Minnesota","84995","82997","113","673","816","396",2006
"10","Stearns County, Minnesota","144096","137984","0","616","1489","4007",2006
"11","Washington County, Minnesota","225000","209048","65","1126","9045","5716",2006
"12","Wright County, Minnesota","114787","110151","30","746","2179","1681",2006
"13","Anoka County, Minnesota","327090","301667","41","1342","9792","14248",2008
"14","Carver County, Minnesota","90043","85410","0","413","2298","1922",2008
"15","Dakota County, Minnesota","392755","359860","225","2340","15041","15289",2008
"16","Hennepin County, Minnesota","1140988","999279","969","7585","54134","79021",2008
"17","Olmsted County, Minnesota","141360","128422","45","791","6009","6093",2008
"18","Ramsey County, Minnesota","501428","438800","464","2773","27268","32123",2008
"19","St. Louis County, Minnesota","196864","192363","42","803","2157","1499",2008
"20","Scott County, Minnesota","128937","120044","0","456","4905","3532",2008
"21","Sherburne County, Minnesota","87660","85085","38","450","1311","776",2008
"22","Stearns County, Minnesota","147076","141363","65","406","2652","2590",2008
"23","Washington County, Minnesota","229173","213053","412","1545","7829","6334",2008
"24","Wright County, Minnesota","119701","117271","0","232","1285","913",2008
"25","Aitkin County, Minnesota","16166","15904","7","68","112","75",2012
"26","Anoka County, Minnesota","331649","307104","328","1603","11551","11063",2012
"27","Becker County, Minnesota","32600","32012","7","100","327","154",2012
"28","Beltrami County, Minnesota","44652","43354","0","329","451","518",2012
"29","Benton County, Minnesota","38560","37744","23","88","410","295",2012
"30","Big Stone County, Minnesota","5250","5199","1","15","16","19",2012
"31","Blue Earth County, Minnesota","63991","61275","42","312","1139","1223",2012
"32","Brown County, Minnesota","25772","25252","0","127","119","274",2012
"33","Carlton County, Minnesota","35304","34712","10","171","257","154",2012
"34","Carver County, Minnesota","91355","85533","3","382","2636","2801",2012
"35","Cass County, Minnesota","28519","28151","2","95","171","100",2012
"36","Chippewa County, Minnesota","12327","11812","30","40","62","383",2012
"37","Chisago County, Minnesota","53526","52369","15","202","528","412",2012
"38","Clay County, Minnesota","58937","56801","25","350","978","783",2012
"39","Clearwater County, Minnesota","8672","8538","0","48","51","35",2012
"40","Cook County, Minnesota","5206","4889","14","164","63","76",2012
"41","Cottonwood County, Minnesota","11665","11072","0","60","271","262",2012
"42","Crow Wing County, Minnesota","62521","61437","13","205","475","391",2012
"43","Dakota County, Minnesota","399443","363450","829","2837","16552","15775",2012
"44","Dodge County, Minnesota","20071","19626","2","47","127","269",2012
"45","Douglas County, Minnesota","36167","35651","14","99","147","256",2012
"46","Faribault County, Minnesota","14546","14215","0","57","137","137",2012
"47","Fillmore County, Minnesota","20880","20551","0","102","88","139",2012
"48","Freeborn County, Minnesota","31188","30280","8","130","306","464",2012
"49","Goodhue County, Minnesota","46144","45007","5","85","302","745",2012
"50","Grant County, Minnesota","6016","5909","0","24","43","40",2012
"51","Hennepin County, Minnesota","1158039","1001151","1145","8098","61856","85789",2012
"52","Houston County, Minnesota","19001","18793","3","47","64","94",2012
"53","Hubbard County, Minnesota","20372","19982","6","83","214","87",2012
"54","Isanti County, Minnesota","38004","37417","3","119","283","182",2012
"55","Itasca County, Minnesota","45052","44390","26","198","279","159",2012
"56","Jackson County, Minnesota","10273","9948","7","49","115","154",2012
"57","Kanabec County, Minnesota","16255","16019","0","59","62","115",2012
"58","Kandiyohi County, Minnesota","42150","40113","7","116","676","1238",2012
"59","Kittson County, Minnesota","4547","4403","0","14","113","17",2012
"60","Koochiching County, Minnesota","13293","12390","56","224","309","314",2012
"61","Lac qui Parle County, Minnesota","7240","7128","0","23","40","49",2012
"62","Lake County, Minnesota","10849","10652","0","43","80","74",2012
"63","Lake of the Woods County, Minnesota","4039","3893","0","39","48","59",2012
"64","Le Sueur County, Minnesota","27744","26949","15","94","214","472",2012
"65","Lincoln County, Minnesota","5876","5766","7","17","47","39",2012
"66","Lyon County, Minnesota","25714","24322","0","58","349","985",2012
"67","McLeod County, Minnesota","36527","35159","0","202","525","641",2012
"68","Mahnomen County, Minnesota","5442","5384","1","4","43","10",2012
"69","Marshall County, Minnesota","9475","9295","2","30","64","84",2012
"70","Martin County, Minnesota","20727","20293","0","45","132","257",2012
"71","Meeker County, Minnesota","23262","22777","2","34","111","338",2012
"72","Mille Lacs County, Minnesota","26004","25518","6","173","169","138",2012
"73","Morrison County, Minnesota","33173","32756","4","57","168","188",2012
"74","Mower County, Minnesota","39115","36105","3","118","688","2201",2012
"75","Murray County, Minnesota","8690","8487","7","24","62","110",2012
"76","Nicollet County, Minnesota","32689","31823","11","127","311","417",2012
"77","Nobles County, Minnesota","21349","17516","151","92","788","2802",2012
"78","Norman County, Minnesota","6796","6658","8","26","49","55",2012
"79","Olmsted County, Minnesota","144507","129495","154","855","6401","7602",2012
"80","Otter Tail County, Minnesota","57381","55708","34","245","482","912",2012
"81","Pennington County, Minnesota","13950","13581","19","37","163","150",2012
"82","Pine County, Minnesota","29564","28858","37","119","306","244",2012
