"","CTYNAME","POPULATION 18-24","HIGHSCHOOL DEGREE","BACHELOR'S DEGREE","POPULATION >25","HIGHSCHOOL DEGREE >25","BACHELOR'S DEGREE >25","GRADUATE DEGREE >25","YEAR"
"1","Anoka County, Minnesota","29811","38.7","10.2","210657","29.9","18.8","6.6",2006
"2","Carver County, Minnesota","8852","32.6","15.1","54327","24.3","30.1","10.7",2006
"3","Dakota County, Minnesota","33829","35.6","14.1","249649","24.0","26.8","10.8",2006
"4","Hennepin County, Minnesota","98242","27.6","15.0","755113","21.3","27.7","14.0",2006
"5","Olmsted County, Minnesota","11706","28.3","11.6","90771","24.0","22.0","13.8",2006
"6","Ramsey County, Minnesota","48653","26.3","13.6","320554","25.0","23.3","15.2",2006
"7","St. Louis County, Minnesota","25805","34.7","7.6","131267","31.3","17.7","7.8",2006
"8","Scott County, Minnesota","10156","33.7","10.1","78310","23.4","26.9","8.6",2006
"9","Sherburne County, Minnesota","9288","31.1","4.0","52554","30.8","19.0","5.8",2006
"10","Stearns County, Minnesota","23157","14.3","6.9","87911","31.8","16.2","7.2",2006
"11","Washington County, Minnesota","21047","28.6","13.5","144917","23.9","26.3","12.4",2006
"12","Wright County, Minnesota","10383","42.8","9.4","72805","34.9","18.1","4.1",2006
"13","Anoka County, Minnesota","28853","32.1","10.8","213221","31.4","17.4","6.6",2008
"14","Carver County, Minnesota","7936","36.9","19.5","56765","21.9","30.0","12.6",2008
"15","Dakota County, Minnesota","33867","32.3","14.4","255238","22.5","27.9","11.5",2008
"16","Hennepin County, Minnesota","103162","22.8","19.1","770397","19.6","29.2","14.7",2008
"17","Olmsted County, Minnesota","11168","30.9","12.8","94289","20.6","24.9","16.6",2008
"18","Ramsey County, Minnesota","52315","24.5","14.6","327345","23.2","23.9","15.3",2008
"19","St. Louis County, Minnesota","26195","22.6","8.2","132719","29.0","18.5","8.1",2008
"20","Scott County, Minnesota","10461","27.1","11.1","80121","25.5","26.8","9.3",2008
"21","Sherburne County, Minnesota","8222","39.4","12.6","55111","31.2","16.9","5.1",2008
"22","Stearns County, Minnesota","24261","18.2","3.2","90078","33.4","16.1","8.2",2008
"23","Washington County, Minnesota","20358","29.8","12.5","149308","23.7","27.9","12.4",2008
"24","Wright County, Minnesota","9502","45.7","9.3","76152","33.9","19.7","5.6",2008
"25","Aitkin County, Minnesota","801","45.3","2.9","12498","41.2","10.4","4.1",2012
"26","Anoka County, Minnesota","27120","32.3","9.7","218748","29.9","18.7","7.4",2012
"27","Becker County, Minnesota","2245","38.7","3.8","22392","33.1","14.9","6.4",2012
"28","Beltrami County, Minnesota","6336","23.9","8.5","27032","27.0","18.3","9.7",2012
"29","Benton County, Minnesota","3987","26.1","9.4","25018","34.1","14.2","6.0",2012
"30","Big Stone County, Minnesota","302","28.1","5.6","3846","42.5","11.3","4.1",2012
"31","Blue Earth County, Minnesota","14660","17.9","8.5","37008","28.7","21.6","9.1",2012
"32","Brown County, Minnesota","2479","26.8","4.8","17626","39.2","13.7","5.8",2012
"33","Carlton County, Minnesota","2586","40.1","4.3","24415","33.7","15.1","6.8",2012
"34","Carver County, Minnesota","6134","27.5","12.8","58109","22.1","30.8","12.6",2012
"35","Cass County, Minnesota","1832","39.7","3.5","20526","36.1","14.1","5.6",2012
"36","Chippewa County, Minnesota","874","40.3","4.7","8547","33.9","13.6","3.4",2012
"37","Chisago County, Minnesota","3987","39.0","5.1","35856","36.5","13.4","5.6",2012
"38","Clay County, Minnesota","10074","25.6","7.2","35241","29.5","21.8","8.5",2012
"39","Clearwater County, Minnesota","571","36.4","1.8","5948","38.2","10.6","3.5",2012
"40","Cook County, Minnesota","277","44.8","21.3","4047","28.6","22.6","13.7",2012
"41","Cottonwood County, Minnesota","844","44.9","2.3","8052","37.3","12.0","6.3",2012
"42","Crow Wing County, Minnesota","4730","35.3","5.1","43425","31.3","15.5","6.5",2012
"43","Dakota County, Minnesota","31346","31.2","12.4","263512","22.5","26.6","11.8",2012
"44","Dodge County, Minnesota","1445","41.1","6.3","12828","33.5","15.7","6.3",2012
"45","Douglas County, Minnesota","2946","41.2","7.0","25453","31.0","16.6","7.0",2012
"46","Faribault County, Minnesota","1000","38.4","4.5","10360","39.3","12.8","3.9",2012
"47","Fillmore County, Minnesota","1436","37.7","4.6","14427","37.2","13.4","5.1",2012
"48","Freeborn County, Minnesota","2298","39.0","2.4","22010","38.1","10.2","4.0",2012
"49","Goodhue County, Minnesota","3295","32.4","9.2","31976","32.9","16.6","5.9",2012
"50","Grant County, Minnesota","401","32.2","3.0","4340","33.8","14.0","4.3",2012
"51","Hennepin County, Minnesota","112973","21.5","18.4","782754","18.6","29.9","15.5",2012
"52","Houston County, Minnesota","1290","40.6","9.5","13404","34.8","15.5","7.7",2012
"53","Hubbard County, Minnesota","1191","43.0","4.7","14748","33.8","15.1","6.9",2012
"54","Isanti County, Minnesota","3057","38.4","4.0","25082","39.2","12.2","4.7",2012
"55","Itasca County, Minnesota","3209","35.5","6.9","32071","33.9","14.5","6.3",2012
"56","Jackson County, Minnesota","698","29.7","9.5","7265","36.4","13.8","3.5",2012
"57","Kanabec County, Minnesota","1097","44.0","3.7","11343","39.6","9.3","4.4",2012
"58","Kandiyohi County, Minnesota","4010","22.5","7.1","28068","30.5","15.3","6.1",2012
"59","Kittson County, Minnesota","277","23.1","9.0","3283","34.8","16.9","3.8",2012
"60","Koochiching County, Minnesota","847","28.8","2.6","9664","37.0","14.5","3.0",2012
"61","Lac qui Parle County, Minnesota","380","33.4","2.4","5340","38.7","13.3","3.5",2012
"62","Lake County, Minnesota","688","32.3","8.4","8147","37.2","13.5","6.7",2012
"63","Lake of the Woods County, Minnesota","242","52.1","5.4","2999","39.9","13.0","1.8",2012
"64","Le Sueur County, Minnesota","1919","38.0","6.7","18813","36.7","15.5","6.4",2012
"65","Lincoln County, Minnesota","352","31.8","11.6","4233","43.7","13.9","3.6",2012
"66","Lyon County, Minnesota","3360","25.7","6.9","16119","33.8","19.1","7.0",2012
"67","McLeod County, Minnesota","2726","33.6","7.1","24614","36.4","13.4","4.6",2012
"68","Mahnomen County, Minnesota","418","53.8","0.0","3407","37.6","10.5","3.3",2012
"69","Marshall County, Minnesota","589","35.8","6.8","6694","37.4","13.4","3.6",2012
"70","Martin County, Minnesota","1348","25.4","6.6","14763","37.9","13.8","4.6",2012
"71","Meeker County, Minnesota","1588","38.9","4.0","15796","39.3","12.5","4.1",2012
"72","Mille Lacs County, Minnesota","1940","39.9","5.3","17517","37.9","11.0","3.6",2012
"73","Morrison County, Minnesota","2513","38.2","7.4","22612","39.6","11.1","4.7",2012
"74","Mower County, Minnesota","3415","25.3","4.2","25836","33.7","12.0","4.1",2012
"75","Murray County, Minnesota","518","35.5","6.0","6290","39.7","12.4","3.9",2012
"76","Nicollet County, Minnesota","5083","18.9","6.8","20284","27.0","22.9","10.2",2012
"77","Nobles County, Minnesota","2003","31.6","4.2","13842","33.5","10.3","4.1",2012
"78","Norman County, Minnesota","387","33.6","6.5","4788","39.5","11.6","2.5",2012
"79","Olmsted County, Minnesota","11271","26.7","14.1","96974","21.7","24.4","16.0",2012
"80","Otter Tail County, Minnesota","3947","32.4","8.4","41024","33.0","15.9","6.2",2012
"81","Pennington County, Minnesota","1255","31.7","5.5","9389","32.7","10.4","5.6",2012
"82","Pine County, Minnesota","2044","39.6","3.8","21058","41.9","9.1","4.4",2012
"83","Pipestone County, Minnesota","654","35.2","7.8","6524","35.9","11.1","5.4",2012
"84","Polk County, Minnesota","3258","24.7","5.0","20819","30.6","15.5","7.4",2012
"85","Pope County, Minnesota","712","37.2","4.5","7951","37.2","14.2","4.9",2012
"86","Ramsey County, Minnesota","60886","24.1","15.1","330997","23.1","23.9","15.2",2012
"87","Red Lake County, Minnesota","267","39.0","6.0","2831","39.4","11.6","2.8",2012
"88","Redwood County, Minnesota","1127","39.8","10.3","10936","39.2","12.4","3.4",2012
"89","Renville County, Minnesota","1077","39.7","4.9","10983","39.7","12.7","2.5",2012
"90","Rice County, Minnesota","9602","17.5","4.4","39613","32.2","18.0","9.9",2012
"91","Rock County, Minnesota","621","25.4","7.9","6563","39.4","13.7","4.6",2012
"92","Roseau County, Minnesota","1037","39.5","5.1","10538","40.7","13.4","3.6",2012
"93","St. Louis County, Minnesota","25593","19.7","9.6","135277","30.0","17.6","8.3",2012
"94","Scott County, Minnesota","8769","31.2","11.3","82721","24.4","27.7","9.8",2012
"95","Sherburne County, Minnesota","7495","34.4","5.9","55424","27.4","17.5","6.9",2012
"96","Sibley County, Minnesota","999","34.0","9.5","10345","41.1","11.4","2.9",2012
"97","Stearns County, Minnesota","23897","14.0","5.9","91804","31.2","16.4","7.8",2012
"98","Steele County, Minnesota","2679","36.2","7.8","24266","34.6","18.2","6.6",2012
"99","Stevens County, Minnesota","1821","19.0","3.3","5865","31.6","17.5","9.0",2012
"100","Swift County, Minnesota","693","35.8","8.4","6968","40.3","11.3","4.6",2012
"101","Todd County, Minnesota","1918","31.9","2.8","16707","37.6","9.7","3.2",2012
"102","Traverse County, Minnesota","190","26.3","7.9","2607","37.7","12.4","3.6",2012
"103","Wabasha County, Minnesota","1513","40.1","7.5","15052","39.3","13.5","5.7",2012
"104","Wadena County, Minnesota","1022","35.3","5.3","9468","37.1","9.3","4.1",2012
"105","Waseca County, Minnesota","1347","36.1","3.5","13238","37.9","14.2","4.7",2012
"106","Washington County, Minnesota","17561","29.9","11.0","157894","23.3","26.8","13.3",2012
"107","Watonwan County, Minnesota","765","32.7","5.5","7618","39.6","11.4","3.9",2012
"108","Wilkin County, Minnesota","435","21.6","2.8","4550","30.1","11.5","5.1",2012
"109","Winona County, Minnesota","11104","25.8","6.6","30476","31.2","17.2","9.0",2012
"110","Wright County, Minnesota","8448","34.0","9.7","79179","31.9","19.9","6.4",2012
"111","Yellow Medicine County, Minnesota","768","35.0","3.9","7175","38.4","12.9","4.2",2012
"112","Aitkin County, Minnesota","833","39.1","14.0","12182","39.0","11.3","4.7",2016
"113","Anoka County, Minnesota","27730","33.1","9.4","229933","28.1","20.1","8.1",2016
"114","Becker County, Minnesota","2344","38.5","6.7","22835","32.8","16.5","7.2",2016
"115","Beltrami County, Minnesota","6563","25.9","7.7","27550","27.2","17.5","9.3",2016
"116","Benton County, Minnesota","3196","31.9","8.8","26541","32.3","16.0","6.2",2016
"117","Big Stone County, Minnesota","332","29.8","7.2","3709","42.7","12.4","4.2",2016
"118","Blue Earth County, Minnesota","14724","16.5","6.3","37943","28.5","21.3","10.4",2016
"119","Brown County, Minnesota","2454","29.0","7.9","17370","37.8","15.3","5.5",2016
"120","Carlton County, Minnesota","2731","33.5","4.0","24670","36.8","16.4","5.6",2016
"121","Carver County, Minnesota","7542","26.9","15.6","62455","20.5","32.7","13.4",2016
"122","Cass County, Minnesota","1846","34.7","4.0","20695","34.2","14.6","6.3",2016
"123","Chippewa County, Minnesota","892","29.7","6.2","8446","36.1","12.3","4.1",2016
"124","Chisago County, Minnesota","4198","36.2","4.6","37112","34.1","15.3","6.7",2016
"125","Clay County, Minnesota","10023","23.4","7.3","36983","26.5","24.1","8.9",2016
"126","Clearwater County, Minnesota","617","38.6","7.1","5978","38.0","10.7","3.9",2016
"127","Cook County, Minnesota","300","27.3","14.3","4093","24.3","24.5","15.1",2016
"128","Cottonwood County, Minnesota","879","41.3","6.4","7932","34.7","15.0","4.9",2016
"129","Crow Wing County, Minnesota","4578","30.8","6.2","44683","30.4","15.9","8.3",2016
"130","Dakota County, Minnesota","33010","30.2","14.4","275344","21.0","28.3","12.5",2016
"131","Dodge County, Minnesota","1560","34.7","7.9","13190","34.2","18.3","5.5",2016
"132","Douglas County, Minnesota","2790","23.0","10.1","26249","29.8","18.4","6.6",2016
"133","Faribault County, Minnesota","907","37.9","8.8","10153","40.5","12.7","4.2",2016
"134","Fillmore County, Minnesota","1446","30.0","5.9","14422","34.3","14.5","5.9",2016
"135","Freeborn County, Minnesota","2153","38.1","5.5","21874","36.1","12.1","4.7",2016
"136","Goodhue County, Minnesota","3398","39.4","10.7","32472","33.1","17.1","7.2",2016
"137","Grant County, Minnesota","393","40.7","12.0","4249","33.5","15.0","4.5",2016
"138","Hennepin County, Minnesota","108258","22.0","20.6","831660","17.5","30.6","17.0",2016
"139","Houston County, Minnesota","1360","34.7","11.0","13394","33.8","16.3","6.3",2016
"140","Hubbard County, Minnesota","1202","38.8","4.9","14961","31.9","17.1","8.3",2016
"141","Isanti County, Minnesota","2891","45.3","3.7","26122","36.8","12.5","5.2",2016
"142","Itasca County, Minnesota","3209","25.9","7.7","32508","31.0","15.1","7.2",2016
"143","Jackson County, Minnesota","750","30.4","9.3","7147","33.0","15.9","5.3",2016
"144","Kanabec County, Minnesota","1168","41.8","4.6","11255","40.7","8.3","5.4",2016
"145","Kandiyohi County, Minnesota","3763","22.8","9.5","28588","26.5","15.0","7.5",2016
"146","Kittson County, Minnesota","309","37.2","5.2","3169","36.2","15.7","5.0",2016
"147","Koochiching County, Minnesota","902","35.6","7.3","9516","37.1","12.7","5.7",2016
"148","Lac qui Parle County, Minnesota","462","35.3","5.6","5066","38.8","13.8","4.6",2016
"149","Lake County, Minnesota","624","37.8","3.8","8135","33.5","17.1","10.1",2016
"150","Lake of the Woods County, Minnesota","271","60.9","6.6","2910","42.0","14.0","3.0",2016
"151","Le Sueur County, Minnesota","2043","38.9","9.6","18871","36.0","15.2","6.2",2016
"152","Lincoln County, Minnesota","370","31.6","11.4","4122","40.5","15.2","3.7",2016
"153","Lyon County, Minnesota","2878","21.0","7.6","16448","33.5","19.4","7.3",2016
"154","McLeod County, Minnesota","2672","29.4","9.1","24697","36.5","12.5","4.8",2016
"155","Mahnomen County, Minnesota","429","36.8","4.9","3362","36.0","9.3","3.3",2016
"156","Marshall County, Minnesota","678","38.3","5.6","6556","36.7","15.6","4.4",2016
"157","Martin County, Minnesota","1462","29.6","8.0","14336","38.8","14.3","4.1",2016
"158","Meeker County, Minnesota","1624","36.6","3.9","15791","37.3","13.7","5.2",2016
"159","Mille Lacs County, Minnesota","1811","31.4","9.1","17729","37.9","10.7","5.0",2016
"160","Morrison County, Minnesota","2408","33.7","5.1","22679","37.9","11.4","4.8",2016
"161","Mower County, Minnesota","3270","24.4","3.5","26194","31.6","13.7","6.3",2016
"162","Murray County, Minnesota","570","31.1","11.1","6108","37.5","12.3","5.5",2016
"163","Nicollet County, Minnesota","4344","16.0","7.6","21497","27.1","22.1","10.2",2016
"164","Nobles County, Minnesota","1987","29.9","5.3","13963","33.2","9.5","4.0",2016
"165","Norman County, Minnesota","459","35.9","6.3","4652","40.9","13.0","2.6",2016
"166","Olmsted County, Minnesota","11694","29.5","17.4","101189","20.5","24.3","17.7",2016
"167","Otter Tail County, Minnesota","4172","30.7","10.1","41119","30.7","16.9","7.2",2016
"168","Pennington County, Minnesota","1191","34.3","4.5","9690","36.0","13.1","4.3",2016
"169","Pine County, Minnesota","2004","42.1","4.4","21058","41.3","9.7","4.1",2016
"170","Pipestone County, Minnesota","687","28.1","4.2","6313","34.8","15.4","4.5",2016
"171","Polk County, Minnesota","3141","26.6","5.2","20979","30.9","16.7","7.2",2016
"172","Pope County, Minnesota","703","30.9","8.5","7948","33.7","16.2","6.3",2016
"173","Ramsey County, Minnesota","57394","25.3","15.8","349954","21.9","24.7","16.3",2016
"174","Red Lake County, Minnesota","258","38.4","9.3","2790","40.9","11.4","3.6",2016
"175","Redwood County, Minnesota","1157","35.5","8.6","10614","37.6","13.6","4.2",2016
"176","Renville County, Minnesota","1097","39.2","9.2","10538","35.9","11.5","3.2",2016
"177","Rice County, Minnesota","9552","20.3","4.6","41110","31.2","16.9","10.3",2016
"178","Rock County, Minnesota","653","34.9","11.9","6493","38.0","14.9","5.6",2016
"179","Roseau County, Minnesota","1230","45.2","3.2","10486","36.0","13.7","4.9",2016
"180","St. Louis County, Minnesota","25778","21.6","10.2","136035","29.2","18.6","9.2",2016
"181","Scott County, Minnesota","10322","31.3","13.4","89060","23.0","28.4","10.5",2016
"182","Sherburne County, Minnesota","7752","36.4","8.5","58467","27.2","19.2","7.5",2016
"183","Sibley County, Minnesota","1066","39.2","6.8","10244","40.2","12.7","4.0",2016
"184","Stearns County, Minnesota","24042","17.3","7.7","94448","29.8","17.8","8.1",2016
"185","Steele County, Minnesota","2848","32.2","10.8","24392","35.6","18.2","6.6",2016
"186","Stevens County, Minnesota","1993","22.4","7.9","5718","26.8","20.3","7.9",2016
"187","Swift County, Minnesota","703","38.1","5.1","6679","35.5","13.3","4.0",2016
"188","Todd County, Minnesota","1896","28.8","5.6","16589","36.7","11.1","4.2",2016
"189","Traverse County, Minnesota","216","20.4","13.4","2486","36.0","13.1","5.0",2016
"190","Wabasha County, Minnesota","1511","35.3","6.3","15048","37.1","14.6","6.6",2016
"191","Wadena County, Minnesota","1029","25.8","6.4","9363","38.2","8.9","4.1",2016
"192","Waseca County, Minnesota","1435","48.4","4.7","13163","36.2","14.9","5.0",2016
"193","Washington County, Minnesota","19573","28.9","14.4","166376","21.6","27.6","14.7",2016
"194","Watonwan County, Minnesota","897","39.5","4.1","7428","40.7","12.7","3.6",2016
"195","Wilkin County, Minnesota","352","37.5","7.7","4632","29.4","16.8","4.5",2016
"196","Winona County, Minnesota","10698","24.6","5.1","31030","29.2","19.2","10.1",2016
"197","Wright County, Minnesota","9274","30.0","10.7","83193","28.8","19.9","6.9",2016
"198","Yellow Medicine County, Minnesota","705","35.3","5.7","7003","36.8","12.6","3.7",2016
"199","Anoka County, Minnesota","27972","31.2","8.0","239124","30.4","20.3","9.4",2017
"200","Blue Earth County, Minnesota","15576","9.4","8.9","38523","23.3","24.0","14.1",2017
"201","Carver County, Minnesota","8393","24.4","13.1","66083","18.3","34.7","15.3",2017
"202","Dakota County, Minnesota","32353","34.0","17.4","285868","21.2","27.8","13.2",2017
"203","Hennepin County, Minnesota","107374","26.0","22.4","869261","16.4","31.3","18.8",2017
"204","Olmsted County, Minnesota","11734","20.6","26.6","105285","21.5","26.3","19.5",2017
"205","Ramsey County, Minnesota","54915","25.3","17.2","365279","20.0","24.9","17.5",2017
"206","Rice County, Minnesota","9314","13.6","4.9","42340","30.7","18.2","9.4",2017
"207","St. Louis County, Minnesota","25680","20.3","10.8","136260","26.5","20.6","9.4",2017
"208","Scott County, Minnesota","11003","29.7","17.2","94197","21.0","28.8","12.9",2017
"209","Sherburne County, Minnesota","7974","33.1","11.3","61784","28.0","21.4","6.6",2017
"210","Stearns County, Minnesota","24222","18.1","11.0","97265","26.0","20.5","10.1",2017
"211","Washington County, Minnesota","19492","37.8","15.8","173709","21.4","28.1","15.4",2017
"212","Wright County, Minnesota","9974","32.5","9.0","86598","30.7","21.3","7.0",2017
