"","CTYNAME","Percent Married","Percent Divorced","YEAR"
"1","Anoka County, Minnesota","56.9","9.4",2006
"2","Carver County, Minnesota","63.4","6.3",2006
"3","Dakota County, Minnesota","55.8","10.2",2006
"4","Hennepin County, Minnesota","48.1","10.8",2006
"5","Olmsted County, Minnesota","59.3","9.0",2006
"6","Ramsey County, Minnesota","44.4","11.1",2006
"7","St. Louis County, Minnesota","47.6","11.5",2006
"8","Scott County, Minnesota","60.9","7.4",2006
"9","Sherburne County, Minnesota","N","N",2006
"10","Stearns County, Minnesota","54.7","6.6",2006
"11","Washington County, Minnesota","59.4","7.9",2006
"12","Wright County, Minnesota","60.9","7.8",2006
"13","Anoka County, Minnesota","54.4","9.6",2008
"14","Carver County, Minnesota","N","N",2008
"15","Dakota County, Minnesota","56.8","9.2",2008
"16","Hennepin County, Minnesota","47.8","10.8",2008
"17","Olmsted County, Minnesota","59.8","8.7",2008
"18","Ramsey County, Minnesota","46.2","10.5",2008
"19","St. Louis County, Minnesota","47.9","12.2",2008
"20","Scott County, Minnesota","57.9","10.4",2008
"21","Sherburne County, Minnesota","55.6","9.2",2008
"22","Stearns County, Minnesota","51.5","7.7",2008
"23","Washington County, Minnesota","59.3","9.6",2008
"24","Wright County, Minnesota","63.2","7.6",2008
"25","Aitkin County, Minnesota","61.5","12.2",2012
"26","Anoka County, Minnesota","55.1","10.3",2012
"27","Becker County, Minnesota","58.3","11.2",2012
"28","Beltrami County, Minnesota","47.4","10.1",2012
"29","Benton County, Minnesota","53.3","8.4",2012
"30","Big Stone County, Minnesota","61.6","7.1",2012
"31","Blue Earth County, Minnesota","43.8","7.0",2012
"32","Brown County, Minnesota","54.2","10.4",2012
"33","Carlton County, Minnesota","54.2","11.6",2012
"34","Carver County, Minnesota","63.4","7.9",2012
"35","Cass County, Minnesota","61.1","9.9",2012
"36","Chippewa County, Minnesota","55.0","11.5",2012
"37","Chisago County, Minnesota","58.4","10.4",2012
"38","Clay County, Minnesota","48.8","9.0",2012
"39","Clearwater County, Minnesota","60.5","10.1",2012
"40","Cook County, Minnesota","62.7","11.5",2012
"41","Cottonwood County, Minnesota","59.8","7.8",2012
"42","Crow Wing County, Minnesota","58.1","11.0",2012
"43","Dakota County, Minnesota","56.2","10.0",2012
"44","Dodge County, Minnesota","61.3","9.5",2012
"45","Douglas County, Minnesota","61.4","8.8",2012
"46","Faribault County, Minnesota","58.6","9.1",2012
"47","Fillmore County, Minnesota","59.4","9.5",2012
"48","Freeborn County, Minnesota","53.2","10.3",2012
"49","Goodhue County, Minnesota","57.5","11.2",2012
"50","Grant County, Minnesota","59.0","11.0",2012
"51","Hennepin County, Minnesota","47.0","9.9",2012
"52","Houston County, Minnesota","59.6","8.1",2012
"53","Hubbard County, Minnesota","60.4","10.8",2012
"54","Isanti County, Minnesota","57.6","9.6",2012
"55","Itasca County, Minnesota","59.9","10.8",2012
"56","Jackson County, Minnesota","62.4","7.5",2012
"57","Kanabec County, Minnesota","56.6","10.7",2012
"58","Kandiyohi County, Minnesota","57.8","8.1",2012
"59","Kittson County, Minnesota","57.0","9.1",2012
"60","Koochiching County, Minnesota","53.7","12.4",2012
"61","Lac qui Parle County, Minnesota","62.9","8.0",2012
"62","Lake County, Minnesota","59.9","10.5",2012
"63","Lake of the Woods County, Minnesota","60.1","10.5",2012
"64","Le Sueur County, Minnesota","60.1","8.6",2012
"65","Lincoln County, Minnesota","61.0","6.7",2012
