"","CTYNAME","WHITE","BLACK","INDIAN","ASIAN","HAWAIIAN","OTHERS","YEAR"
"1","Anoka County, Minnesota","289688","11620","1661","12177","123","4924",2006
"2","Carver County, Minnesota","82425","356","71","2638","0","1115",2006
"3","Dakota County, Minnesota","339289","15215","1591","15780","49","8962",2006
"4","Hennepin County, Minnesota","876034","117586","8379","61432","233","31849",2006
"5","Olmsted County, Minnesota","122258","5324","193","7167","141","650",2006
"6","Ramsey County, Minnesota","373469","48521","2624","44352","153","12221",2006
"7","St. Louis County, Minnesota","184993","2624","3935","1817","62","676",2006
"8","Scott County, Minnesota","111783","3162","1248","6866","0","681",2006
"9","Sherburne County, Minnesota","81413","653","98","1322","0","187",2006
"10","Stearns County, Minnesota","136030","3489","230","1615","0","1394",2006
"11","Washington County, Minnesota","200921","6590","712","10009","0","3205",2006
"12","Wright County, Minnesota","109817","1272","258","978","158","1167",2006
"13","Anoka County, Minnesota","289161","11187","1947","12902","62","5302",2008
"14","Carver County, Minnesota","83653","2566","501","687","124","1585",2008
"15","Dakota County, Minnesota","342661","17562","1191","15902","43","6597",2008
"16","Hennepin County, Minnesota","903266","120149","9152","63109","96","20708",2008
"17","Olmsted County, Minnesota","126057","5453","291","6701","34","695",2008
"18","Ramsey County, Minnesota","389084","42600","2629","45450","32","4608",2008
"19","St. Louis County, Minnesota","185264","2440","3901","1683","0","150",2008
"20","Scott County, Minnesota","115063","2706","1048","7068","0","1060",2008
"21","Sherburne County, Minnesota","83819","1170","741","985","0","127",2008
"22","Stearns County, Minnesota","140108","2566","147","2866","0","623",2008
"23","Washington County, Minnesota","204802","6995","333","10570","45","1579",2008
"24","Wright County, Minnesota","114320","1333","557","1195","0","1224",2008
"25","Aitkin County, Minnesota","15432","76","262","72","0","34",2012
"26","Anoka County, Minnesota","288614","13811","2163","13395","69","5236",2012
"27","Becker County, Minnesota","28787","115","2248","140","4","91",2012
"28","Beltrami County, Minnesota","33521","367","8526","357","173","104",2012
"29","Benton County, Minnesota","36567","825","184","370","0","16",2012
"30","Big Stone County, Minnesota","5162","17","11","2","0","4",2012
"31","Blue Earth County, Minnesota","59295","1670","156","1246","2","334",2012
"32","Brown County, Minnesota","25219","75","28","165","17","158",2012
"33","Carlton County, Minnesota","31634","565","1897","230","9","217",2012
"34","Carver County, Minnesota","84539","975","158","2279","32","1546",2012
"35","Cass County, Minnesota","24518","78","2974","109","70","25",2012
"36","Chippewa County, Minnesota","11631","46","79","52","97","221",2012
"37","Chisago County, Minnesota","51174","636","274","447","2","239",2012
"38","Clay County, Minnesota","54597","898","895","733","47","540",2012
"39","Clearwater County, Minnesota","7533","51","766","48","0","9",2012
"40","Cook County, Minnesota","4569","28","348","39","18","21",2012
"41","Cottonwood County, Minnesota","10807","63","30","271","0","309",2012
"42","Crow Wing County, Minnesota","60496","456","580","251","0","82",2012
"43","Dakota County, Minnesota","341770","19285","1694","17433","352","8678",2012
"44","Dodge County, Minnesota","19493","112","23","110","0","175",2012
"45","Douglas County, Minnesota","35379","210","139","99","3","10",2012
"46","Faribault County, Minnesota","14104","75","59","28","0","155",2012
"47","Fillmore County, Minnesota","20509","35","45","73","0","84",2012
"48","Freeborn County, Minnesota","29760","239","110","291","0","451",2012
"49","Goodhue County, Minnesota","44083","502","477","308","0","198",2012
"50","Grant County, Minnesota","5885","30","9","18","0","32",2012
"51","Hennepin County, Minnesota","878366","135342","9486","72135","438","24964",2012
"52","Houston County, Minnesota","18564","39","40","35","6","30",2012
"53","Hubbard County, Minnesota","19303","46","445","65","7","71",2012
"54","Isanti County, Minnesota","36594","231","234","252","6","58",2012
"55","Itasca County, Minnesota","42149","140","1439","195","23","124",2012
"56","Jackson County, Minnesota","9802","28","3","208","8","167",2012
"57","Kanabec County, Minnesota","15823","88","103","66","0","0",2012
"58","Kandiyohi County, Minnesota","39842","888","211","201","0","430",2012
"59","Kittson County, Minnesota","4426","26","20","21","0","10",2012
"60","Koochiching County, Minnesota","12551","37","434","54","0","19",2012
"61","Lac qui Parle County, Minnesota","7093","29","22","37","3","0",2012
"62","Lake County, Minnesota","10484","10","24","18","0","97",2012
"63","Lake of the Woods County, Minnesota","3856","45","35","40","0","0",2012
"64","Le Sueur County, Minnesota","26478","110","90","132","0","597",2012
"65","Lincoln County, Minnesota","5755","13","26","11","5","53",2012
"66","Lyon County, Minnesota","23167","550","145","747","0","841",2012
"67","McLeod County, Minnesota","34931","287","132","230","0","580",2012
"68","Mahnomen County, Minnesota","2763","28","2138","66","0","36",2012
"69","Marshall County, Minnesota","9291","39","43","19","0","19",2012
"70","Martin County, Minnesota","20202","72","14","92","0","152",2012
"71","Meeker County, Minnesota","22725","57","62","77","12","149",2012
"72","Mille Lacs County, Minnesota","23725","121","1502","115","5","131",2012
"73","Morrison County, Minnesota","32345","146","53","170","0","118",2012
"74","Mower County, Minnesota","36198","803","64","656","32","672",2012
"75","Murray County, Minnesota","8425","21","20","33","29","71",2012
"76","Nicollet County, Minnesota","30683","737","120","431","1","372",2012
"77","Nobles County, Minnesota","17764","764","67","1038","15","1273",2012
"78","Norman County, Minnesota","6464","10","115","29","10","11",2012
"79","Olmsted County, Minnesota","125401","6829","268","7786","41","1009",2012
"80","Otter Tail County, Minnesota","55222","456","297","332","4","356",2012
"81","Pennington County, Minnesota","13118","192","166","99","29","69",2012
"82","Pine County, Minnesota","27169","628","836","139","10","184",2012
"83","Pipestone County, Minnesota","8944","62","144","32","12","194",2012
"84","Polk County, Minnesota","29303","243","462","236","39","627",2012
"85","Pope County, Minnesota","10781","53","48","35","0","0",2012
"86","Ramsey County, Minnesota","366877","55021","3159","60239","237","7765",2012
"87","Red Lake County, Minnesota","3945","17","46","0","0","16",2012
"88","Redwood County, Minnesota","14319","91","771","526","0","70",2012
"89","Renville County, Minnesota","14964","78","137","84","0","292",2012
"90","Rice County, Minnesota","58228","2017","242","1219","49","1271",2012
"91","Rock County, Minnesota","9343","76","41","70","0","2",2012
"92","Roseau County, Minnesota","14814","56","164","405","0","18",2012
"93","St. Louis County, Minnesota","186179","2841","4739","1880","28","614",2012
"94","Scott County, Minnesota","114098","3370","777","7445","17","1508",2012
"95","Sherburne County, Minnesota","83767","1583","409","1154","12","181",2012
"96","Sibley County, Minnesota","14616","68","22","87","0","247",2012
"97","Stearns County, Minnesota","138603","4627","530","2977","31","1486",2012
"98","Steele County, Minnesota","34067","779","40","310","0","576",2012
"99","Stevens County, Minnesota","9102","44","201","72","0","105",2012
"100","Swift County, Minnesota","9450","133","45","13","0","68",2012
"101","Todd County, Minnesota","23629","70","77","133","0","586",2012
"102","Traverse County, Minnesota","3324","3","164","0","0","21",2012
"103","Wabasha County, Minnesota","21203","97","28","85","0","67",2012
"104","Wadena County, Minnesota","13337","57","195","32","0","27",2012
"105","Waseca County, Minnesota","18013","381","76","112","0","60",2012
"106","Washington County, Minnesota","210330","8241","613","12389","58","1703",2012
"107","Watonwan County, Minnesota","10225","106","15","133","17","526",2012
"108","Wilkin County, Minnesota","6391","15","26","21","6","15",2012
"109","Winona County, Minnesota","48774","603","86","1215","0","169",2012
"110","Wright County, Minnesota","118062","1139","475","1122","0","1608",2012
"111","Yellow Medicine County, Minnesota","9692","30","249","38","2","167",2012
"112","Aitkin County, Minnesota","14937","62","309","52","2","8",2016
"113","Anoka County, Minnesota","291633","17750","2246","14142","107","5092",2016
"114","Becker County, Minnesota","29299","154","2517","165","10","118",2016
"115","Beltrami County, Minnesota","33600","416","9621","391","48","111",2016
"116","Benton County, Minnesota","37032","1046","167","437","0","32",2016
"117","Big Stone County, Minnesota","5038","9","0","0","0","4",2016
"118","Blue Earth County, Minnesota","60046","2166","263","1347","8","297",2016
"119","Brown County, Minnesota","24587","57","56","166","15","238",2016
"120","Carlton County, Minnesota","31710","525","1838","216","7","63",2016
"121","Carver County, Minnesota","90204","1388","135","2672","75","534",2016
"122","Cass County, Minnesota","24315","100","3174","166","13","36",2016
"123","Chippewa County, Minnesota","11265","65","177","81","130","213",2016
"124","Chisago County, Minnesota","51690","672","218","382","4","107",2016
"125","Clay County, Minnesota","56626","1271","770","644","26","263",2016
"126","Clearwater County, Minnesota","7564","29","805","40","11","12",2016
"127","Cook County, Minnesota","4527","15","429","48","20","68",2016
"128","Cottonwood County, Minnesota","10474","72","54","333","4","428",2016
"129","Crow Wing County, Minnesota","60995","389","747","288","0","46",2016
"130","Dakota County, Minnesota","344555","22082","1168","19126","52","11411",2016
"131","Dodge County, Minnesota","19633","67","54","181","0","158",2016
"132","Douglas County, Minnesota","35891","212","138","79","0","139",2016
"133","Faribault County, Minnesota","13762","28","11","47","0","78",2016
"134","Fillmore County, Minnesota","20497","87","16","91","2","33",2016
"135","Freeborn County, Minnesota","29129","406","88","439","7","325",2016
"136","Goodhue County, Minnesota","44289","562","526","245","0","58",2016
"137","Grant County, Minnesota","5792","2","26","7","0","12",2016
"138","Hennepin County, Minnesota","891912","150522","7999","83228","487","32774",2016
"139","Houston County, Minnesota","18267","87","39","76","5","34",2016
"140","Hubbard County, Minnesota","19464","136","442","125","4","60",2016
"141","Isanti County, Minnesota","36830","228","176","336","9","144",2016
"142","Itasca County, Minnesota","42163","224","1594","191","5","98",2016
"143","Jackson County, Minnesota","9713","23","9","223","3","93",2016
"144","Kanabec County, Minnesota","15385","54","155","76","1","30",2016
"145","Kandiyohi County, Minnesota","37765","1566","234","308","0","2047",2016
"146","Kittson County, Minnesota","4347","28","9","17","0","2",2016
