"","CTYNAME","YEAR","TOTALMALE","TOTALFEMALE","AGE2024_TOTAL","AGE2024_MALE","AGE2024_FEMALE","AGE2529_TOTAL","AGE2529_MALE","AGE2529_FEMALE","AGE18ABOVE"
"1","Anoka County, Minnesota",2006,"164087","162918","6.4","6.7","6.0","7.2","7.7","6.7","73.5"
"2","Carver County, Minnesota",2006,"43598","43947","7.6","8.0","7.2","7.8","7.5","8.1","72.2"
"3","Dakota County, Minnesota",2006,"191904","196097","6.2","6.3","6.2","6.6","6.5","6.7","73.1"
"4","Hennepin County, Minnesota",2006,"557544","564549","6.2","6.4","5.9","6.0","6.2","5.7","76.1"
"5","Olmsted County, Minnesota",2006,"68122","69399","6.3","6.4","6.2","6.8","6.7","6.9","74.5"
"6","Ramsey County, Minnesota",2006,"238626","254589","6.8","6.8","6.7","5.9","6.2","5.5","74.9"
"7","St. Louis County, Minnesota",2006,"96982","99085","8.9","9.4","8.4","5.7","6.5","5.0","80.1"
"8","Scott County, Minnesota",2006,"61992","62100","6.5","6.5","6.4","8.7","8.6","8.7","71.3"
"9","Sherburne County, Minnesota",2006,"42663","42332","8.2","8.3","8.0","9.9","9.6","10.2","72.8"
"10","Stearns County, Minnesota",2006,"73056","71040","11.4","11.4","11.3","7.3","7.9","6.6","77.1"
"11","Washington County, Minnesota",2006,"112465","112535","6.9","7.0","6.9","6.2","6.6","5.8","73.8"
"12","Wright County, Minnesota",2006,"57444","57343","7.0","6.9","7.0","9.1","8.9","9.3","72.5"
"13","Anoka County, Minnesota",2008,"165644","161446","6.1","6.3","6.0","7.2","7.4","6.9","74.0"
"14","Carver County, Minnesota",2008,"45149","44894","6.5","6.3","6.6","8.1","9.0","7.2","71.9"
"15","Dakota County, Minnesota",2008,"194384","198371","6.1","6.6","5.6","6.6","6.4","6.8","73.6"
"16","Hennepin County, Minnesota",2008,"567566","573422","6.4","6.6","6.2","6.0","6.3","5.7","76.6"
"17","Olmsted County, Minnesota",2008,"70516","70844","5.9","6.2","5.6","7.4","7.5","7.3","74.6"
"18","Ramsey County, Minnesota",2008,"242999","258429","7.2","7.2","7.2","5.7","6.2","5.3","75.7"
"19","St. Louis County, Minnesota",2008,"97189","99675","9.0","9.2","8.8","6.4","6.7","6.2","80.7"
"20","Scott County, Minnesota",2008,"64336","64601","5.9","6.0","5.9","7.8","7.7","8.0","70.3"
"21","Sherburne County, Minnesota",2008,"43475","44185","6.9","7.2","6.6","9.7","9.3","10.1","72.2"
"22","Stearns County, Minnesota",2008,"74007","73069","11.6","11.9","11.4","7.6","8.1","7.1","77.7"
"23","Washington County, Minnesota",2008,"114238","114935","6.2","6.2","6.2","7.3","8.1","6.6","74.0"
"24","Wright County, Minnesota",2008,"60905","58796","5.9","5.7","6.1","9.1","9.1","9.1","71.6"
