"","CTYNAME","YEAR","TOTALMALE","TOTALFEMALE","AGE1519","AGE2024","AGE2529","AGE18ABOVE"
"1","Anoka County, Minnesota",2006,"164087","162918","7.4","6.4","7.2","73.5"
"2","Carver County, Minnesota",2006,"43598","43947","7.2","7.6","7.8","72.2"
"3","Dakota County, Minnesota",2006,"191904","196097","7.4","6.2","6.6","73.1"
"4","Hennepin County, Minnesota",2006,"557544","564549","6.5","6.2","6.0","76.1"
"5","Olmsted County, Minnesota",2006,"68122","69399","6.6","6.3","6.8","74.5"
"6","Ramsey County, Minnesota",2006,"238626","254589","7.3","6.8","5.9","74.9"
"7","St. Louis County, Minnesota",2006,"96982","99085","8.3","8.9","5.7","80.1"
"8","Scott County, Minnesota",2006,"61992","62100","6.3","6.5","8.7","71.3"
"9","Sherburne County, Minnesota",2006,"42663","42332","7.1","8.2","9.9","72.8"
"10","Stearns County, Minnesota",2006,"73056","71040","8.8","11.4","7.3","77.1"
"11","Washington County, Minnesota",2006,"112465","112535","7.4","6.9","6.2","73.8"
"12","Wright County, Minnesota",2006,"57444","57343","6.8","7.0","9.1","72.5"
"13","Anoka County, Minnesota",2008,"165644","161446","7.3","6.1","7.2","74.0"
"14","Carver County, Minnesota",2008,"45149","44894","7.6","6.5","8.1","71.9"
"15","Dakota County, Minnesota",2008,"194384","198371","7.2","6.1","6.6","73.6"
"16","Hennepin County, Minnesota",2008,"567566","573422","6.5","6.4","6.0","76.6"
"17","Olmsted County, Minnesota",2008,"70516","70844","5.9","5.9","7.4","74.6"
"18","Ramsey County, Minnesota",2008,"242999","258429","7.5","7.2","5.7","75.7"
"19","St. Louis County, Minnesota",2008,"97189","99675","8.0","9.0","6.4","80.7"
"20","Scott County, Minnesota",2008,"64336","64601","6.8","5.9","7.8","70.3"
"21","Sherburne County, Minnesota",2008,"43475","44185","7.0","6.9","9.7","72.2"
"22","Stearns County, Minnesota",2008,"74007","73069","8.8","11.6","7.6","77.7"
"23","Washington County, Minnesota",2008,"114238","114935","7.5","6.2","7.3","74.0"
"24","Wright County, Minnesota",2008,"60905","58796","6.5","5.9","9.1","71.6"
"25","Aitkin County, Minnesota",2012,"8223","7943","4.9","3.3","4.0","82.3"
"26","Anoka County, Minnesota",2012,"165788","165861","7.2","5.7","6.5","74.1"
"27","Becker County, Minnesota",2012,"16361","16239","6.1","4.8","5.3","75.6"
"28","Beltrami County, Minnesota",2012,"22354","22298","8.4","9.9","6.6","74.7"
"29","Benton County, Minnesota",2012,"19270","19290","6.0","8.0","8.7","75.2"
"30","Big Stone County, Minnesota",2012,"2571","2679","6.3","3.6","4.5","79.0"
"31","Blue Earth County, Minnesota",2012,"32050","31941","9.3","16.6","7.9","80.7"
"32","Brown County, Minnesota",2012,"12744","13028","6.9","6.6","5.3","78.0"
"33","Carlton County, Minnesota",2012,"18385","16919","6.4","5.0","5.8","76.5"
"34","Carver County, Minnesota",2012,"45338","46017","7.4","4.3","5.5","70.3"
"35","Cass County, Minnesota",2012,"14599","13920","6.1","4.3","4.6","78.4"
"36","Chippewa County, Minnesota",2012,"6061","6266","6.6","4.9","6.0","76.4"
"37","Chisago County, Minnesota",2012,"27708","25818","7.2","5.1","5.7","74.4"
"38","Clay County, Minnesota",2012,"29097","29840","9.1","11.6","6.9","76.9"
"39","Clearwater County, Minnesota",2012,"4434","4238","6.3","4.4","5.2","75.2"
"40","Cook County, Minnesota",2012,"2657","2549","4.2","5.2","4.5","83.1"
"41","Cottonwood County, Minnesota",2012,"5726","5939","6.0","5.2","5.9","76.3"
"42","Crow Wing County, Minnesota",2012,"31154","31367","6.3","5.3","5.8","77.0"
"43","Dakota County, Minnesota",2012,"196203","203240","7.0","5.5","6.8","73.8"
"44","Dodge County, Minnesota",2012,"10048","10023","7.5","4.7","5.7","71.1"
"45","Douglas County, Minnesota",2012,"18090","18077","6.1","5.7","5.9","78.5"
"46","Faribault County, Minnesota",2012,"7282","7264","6.8","4.5","4.8","78.1"
"47","Fillmore County, Minnesota",2012,"10398","10482","6.4","4.7","5.3","76.0"
"48","Freeborn County, Minnesota",2012,"15573","15615","6.1","5.1","5.3","77.9"
"49","Goodhue County, Minnesota",2012,"22951","23193","6.7","4.8","5.5","76.4"
"50","Grant County, Minnesota",2012,"3014","3002","5.9","4.7","5.2","78.8"
"51","Hennepin County, Minnesota",2012,"569482","588557","6.3","7.2","8.8","77.3"
"52","Houston County, Minnesota",2012,"9360","9641","6.8","4.4","5.4","77.3"
"53","Hubbard County, Minnesota",2012,"10330","10042","6.1","3.9","4.6","78.2"
"54","Isanti County, Minnesota",2012,"19131","18873","6.8","5.6","6.4","74.0"
"55","Itasca County, Minnesota",2012,"22709","22343","6.5","4.7","4.9","78.3"
"56","Jackson County, Minnesota",2012,"5203","5070","6.5","4.5","5.1","77.5"
"57","Kanabec County, Minnesota",2012,"8209","8046","6.7","4.5","5.3","76.5"
"58","Kandiyohi County, Minnesota",2012,"21226","20924","7.0","6.7","6.0","76.1"
"59","Kittson County, Minnesota",2012,"2265","2282","5.9","4.3","3.8","78.3"
"60","Koochiching County, Minnesota",2012,"6639","6654","6.4","4.2","4.8","79.1"
"61","Lac qui Parle County, Minnesota",2012,"3616","3624","6.0","3.2","4.3","79.0"
"62","Lake County, Minnesota",2012,"5535","5314","5.3","4.4","5.0","81.4"
"63","Lake of the Woods County, Minnesota",2012,"2131","1908","6.1","4.1","3.8","80.2"
"64","Le Sueur County, Minnesota",2012,"13966","13778","6.4","4.7","5.9","74.7"
"65","Lincoln County, Minnesota",2012,"2942","2934","5.5","4.3","4.6","78.0"
"66","Lyon County, Minnesota",2012,"12668","13046","7.8","9.4","7.4","75.8"
"67","McLeod County, Minnesota",2012,"18177","18350","6.3","5.2","5.9","74.8"
"68","Mahnomen County, Minnesota",2012,"2730","2712","6.6","5.6","5.3","70.3"
"69","Marshall County, Minnesota",2012,"4820","4655","6.5","4.0","5.1","76.9"
"70","Martin County, Minnesota",2012,"10213","10514","6.4","4.3","5.0","77.7"
"71","Meeker County, Minnesota",2012,"11774","11488","6.4","4.7","5.4","74.7"
"72","Mille Lacs County, Minnesota",2012,"13041","12963","6.7","5.2","6.2","74.8"
"73","Morrison County, Minnesota",2012,"16781","16392","6.7","5.2","5.9","75.7"
"74","Mower County, Minnesota",2012,"19392","19723","6.9","6.1","5.4","74.8"
"75","Murray County, Minnesota",2012,"4301","4389","6.3","3.8","4.4","78.3"
"76","Nicollet County, Minnesota",2012,"16328","16361","8.3","10.9","7.2","77.6"
"77","Nobles County, Minnesota",2012,"10833","10516","7.1","6.5","7.0","74.2"
"78","Norman County, Minnesota",2012,"3409","3387","6.8","3.6","4.5","76.1"
"79","Olmsted County, Minnesota",2012,"70814","73693","6.2","5.7","7.9","74.9"
"80","Otter Tail County, Minnesota",2012,"28702","28679","6.2","4.7","4.9","78.4"
"81","Pennington County, Minnesota",2012,"6855","7095","6.8","6.3","6.5","76.3"
"82","Pine County, Minnesota",2012,"15810","13754","6.0","4.9","6.1","78.1"
"83","Pipestone County, Minnesota",2012,"4662","4874","6.8","4.6","5.5","75.3"
