"","CTYNAME","Percent Married","Percent Divorced","YEAR"
"1","Aitkin County, Minnesota","63.8","12.0",2010
"2","Anoka County, Minnesota","56.6","9.7",2010
"3","Becker County, Minnesota","58.5","10.6",2010
"4","Beltrami County, Minnesota","49.8","9.0",2010
"5","Benton County, Minnesota","54.0","8.0",2010
"6","Big Stone County, Minnesota","61.7","6.4",2010
"7","Blue Earth County, Minnesota","43.8","7.5",2010
"8","Brown County, Minnesota","56.0","9.5",2010
"9","Carlton County, Minnesota","56.4","10.3",2010
"10","Carver County, Minnesota","64.4","7.4",2010
"11","Cass County, Minnesota","62.8","9.5",2010
"12","Chippewa County, Minnesota","53.6","11.5",2010
"13","Chisago County, Minnesota","59.4","9.9",2010
"14","Clay County, Minnesota","50.8","8.1",2010
"15","Clearwater County, Minnesota","59.8","8.4",2010
"16","Cook County, Minnesota","65.3","12.9",2010
"17","Cottonwood County, Minnesota","60.1","8.0",2010
"18","Crow Wing County, Minnesota","59.8","10.5",2010
"19","Dakota County, Minnesota","57.1","10.0",2010
"20","Dodge County, Minnesota","63.1","8.6",2010
"21","Douglas County, Minnesota","61.1","9.2",2010
"22","Faribault County, Minnesota","57.7","8.8",2010
"23","Fillmore County, Minnesota","60.5","8.7",2010
"24","Freeborn County, Minnesota","57.7","9.4",2010
"25","Goodhue County, Minnesota","59.7","9.8",2010
"26","Grant County, Minnesota","59.9","8.3",2010
"27","Hennepin County, Minnesota","47.5","9.6",2010
"28","Houston County, Minnesota","59.6","9.4",2010
"29","Hubbard County, Minnesota","62.5","10.6",2010
"30","Isanti County, Minnesota","59.2","9.6",2010
"31","Itasca County, Minnesota","60.8","10.4",2010
"32","Jackson County, Minnesota","63.4","7.8",2010
"33","Kanabec County, Minnesota","57.7","10.6",2010
"34","Kandiyohi County, Minnesota","58.4","7.4",2010
"35","Kittson County, Minnesota","57.8","8.6",2010
"36","Koochiching County, Minnesota","55.6","12.6",2010
"37","Lac qui Parle County, Minnesota","64.1","7.9",2010
"38","Lake County, Minnesota","60.2","10.7",2010
"39","Lake of the Woods County, Minnesota","65.6","8.1",2010
"40","Le Sueur County, Minnesota","59.2","8.9",2010
"41","Lincoln County, Minnesota","62.4","6.3",2010
"42","Lyon County, Minnesota","52.8","5.7",2010
"43","McLeod County, Minnesota","60.5","8.8",2010
"44","Mahnomen County, Minnesota","48.6","11.6",2010
"45","Marshall County, Minnesota","64.4","7.1",2010
"46","Martin County, Minnesota","58.5","9.4",2010
"47","Meeker County, Minnesota","63.9","8.8",2010
"48","Mille Lacs County, Minnesota","54.4","10.9",2010
"49","Morrison County, Minnesota","57.6","9.1",2010
"50","Mower County, Minnesota","54.3","10.4",2010
"51","Murray County, Minnesota","63.5","6.6",2010
"52","Nicollet County, Minnesota","50.8","7.6",2010
"53","Nobles County, Minnesota","55.9","7.0",2010
"54","Norman County, Minnesota","58.5","9.1",2010
"55","Olmsted County, Minnesota","58.3","8.4",2010
"56","Otter Tail County, Minnesota","61.1","8.5",2010
"57","Pennington County, Minnesota","53.2","11.5",2010
"58","Pine County, Minnesota","52.8","12.4",2010
"59","Pipestone County, Minnesota","61.0","9.0",2010
"60","Polk County, Minnesota","55.0","8.5",2010
"61","Pope County, Minnesota","61.8","8.4",2010
"62","Ramsey County, Minnesota","44.5","10.0",2010
"63","Red Lake County, Minnesota","61.4","8.3",2010
"64","Redwood County, Minnesota","58.6","9.0",2010
"65","Renville County, Minnesota","59.4","7.3",2010
"66","Rice County, Minnesota","50.5","8.8",2010
"67","Rock County, Minnesota","60.5","8.1",2010
"68","Roseau County, Minnesota","59.4","10.2",2010
"69","St. Louis County, Minnesota","49.9","11.1",2010
"70","Scott County, Minnesota","62.0","9.1",2010
"71","Sherburne County, Minnesota","59.8","8.6",2010
"72","Sibley County, Minnesota","60.3","8.6",2010
"73","Stearns County, Minnesota","52.5","7.2",2010
"74","Steele County, Minnesota","59.8","8.6",2010
"75","Stevens County, Minnesota","48.6","7.2",2010
"76","Swift County, Minnesota","56.4","8.9",2010
"77","Todd County, Minnesota","62.7","9.0",2010
"78","Traverse County, Minnesota","59.9","7.5",2010
"79","Wabasha County, Minnesota","59.5","9.7",2010
