"","CTYNAME","POPULATION","YEAR"
"1","Aitkin County, Minnesota","15964",2014
"2","Anoka County, Minnesota","336316",2014
"3","Becker County, Minnesota","32971",2014
"4","Beltrami County, Minnesota","45236",2014
"5","Benton County, Minnesota","38980",2014
"6","Big Stone County, Minnesota","5180",2014
"7","Blue Earth County, Minnesota","64720",2014
"8","Brown County, Minnesota","25513",2014
"9","Carlton County, Minnesota","35430",2014
"10","Carver County, Minnesota","94212",2014
"11","Cass County, Minnesota","28499",2014
"12","Chippewa County, Minnesota","12235",2014
"13","Chisago County, Minnesota","53798",2014
"14","Clay County, Minnesota","60249",2014
"15","Clearwater County, Minnesota","8735",2014
"16","Cook County, Minnesota","5197",2014
"17","Cottonwood County, Minnesota","11676",2014
"18","Crow Wing County, Minnesota","62900",2014
"19","Dakota County, Minnesota","405521",2014
"20","Dodge County, Minnesota","20246",2014
"21","Douglas County, Minnesota","36413",2014
"22","Faribault County, Minnesota","14337",2014
"23","Fillmore County, Minnesota","20842",2014
"24","Freeborn County, Minnesota","31034",2014
"25","Goodhue County, Minnesota","46336",2014
"26","Grant County, Minnesota","5977",2014
"27","Hennepin County, Minnesota","1184091",2014
"28","Houston County, Minnesota","18859",2014
"29","Hubbard County, Minnesota","20518",2014
"30","Isanti County, Minnesota","38190",2014
"31","Itasca County, Minnesota","45303",2014
"32","Jackson County, Minnesota","10260",2014
"33","Kanabec County, Minnesota","16084",2014
"34","Kandiyohi County, Minnesota","42316",2014
"35","Kittson County, Minnesota","4501",2014
"36","Koochiching County, Minnesota","13138",2014
"37","Lac qui Parle County, Minnesota","7096",2014
"38","Lake County, Minnesota","10791",2014
"39","Lake of the Woods County, Minnesota","3976",2014
"40","Le Sueur County, Minnesota","27717",2014
"41","Lincoln County, Minnesota","5821",2014
"42","Lyon County, Minnesota","25724",2014
"43","McLeod County, Minnesota","36172",2014
"44","Mahnomen County, Minnesota","5486",2014
"45","Marshall County, Minnesota","9447",2014
"46","Martin County, Minnesota","20515",2014
"47","Meeker County, Minnesota","23147",2014
"48","Mille Lacs County, Minnesota","25891",2014
"49","Morrison County, Minnesota","33054",2014
"50","Mower County, Minnesota","39312",2014
"51","Murray County, Minnesota","8586",2014
"52","Nicollet County, Minnesota","32923",2014
"53","Nobles County, Minnesota","21589",2014
"54","Norman County, Minnesota","6725",2014
"55","Olmsted County, Minnesota","147431",2014
"56","Otter Tail County, Minnesota","57417",2014
"57","Pennington County, Minnesota","14041",2014
"58","Pine County, Minnesota","29347",2014
"59","Pipestone County, Minnesota","9407",2014
"60","Polk County, Minnesota","31630",2014
"61","Pope County, Minnesota","10946",2014
"62","Ramsey County, Minnesota","521265",2014
"63","Red Lake County, Minnesota","4071",2014
"64","Redwood County, Minnesota","15834",2014
"65","Renville County, Minnesota","15326",2014
"66","Rice County, Minnesota","64829",2014
"67","Rock County, Minnesota","9587",2014
"68","Roseau County, Minnesota","15545",2014
"69","St. Louis County, Minnesota","200563",2014
"70","Scott County, Minnesota","135129",2014
"71","Sherburne County, Minnesota","89770",2014
