"","CTYNAME","WHITE","BLACK","INDIAN","ASIAN","HAWAIIAN","OTHERS","YEAR"
"1","Aitkin County, Minnesota","15225","68","346","53","1","21",2014
"2","Anoka County, Minnesota","289757","15995","2037","13369","72","5579",2014
"3","Becker County, Minnesota","29021","147","2406","144","7","97",2014
"4","Beltrami County, Minnesota","33650","386","9109","415","49","118",2014
"5","Benton County, Minnesota","36841","954","195","438","0","42",2014
"6","Big Stone County, Minnesota","5084","14","13","2","0","7",2014
"7","Blue Earth County, Minnesota","59808","1970","234","1299","15","267",2014
"8","Brown County, Minnesota","24882","99","29","99","16","193",2014
"9","Carlton County, Minnesota","31760","467","1933","232","5","92",2014
"10","Carver County, Minnesota","87324","1015","163","2485","74","1116",2014
"11","Cass County, Minnesota","24352","106","2935","131","74","26",2014
"12","Chippewa County, Minnesota","11493","94","61","68","117","149",2014
"13","Chisago County, Minnesota","51396","613","293","374","7","256",2014
"14","Clay County, Minnesota","55694","960","765","690","20","467",2014
"15","Clearwater County, Minnesota","7590","17","766","41","7","7",2014
"16","Cook County, Minnesota","4534","50","366","44","21","55",2014
"17","Cottonwood County, Minnesota","10657","65","51","257","26","422",2014
"18","Crow Wing County, Minnesota","60757","480","712","315","0","86",2014
"19","Dakota County, Minnesota","342532","20814","1402","18164","235","10740",2014
"20","Dodge County, Minnesota","19614","107","31","101","0","179",2014
"21","Douglas County, Minnesota","35590","191","100","82","2","61",2014
"22","Faribault County, Minnesota","14002","56","49","56","0","50",2014
"23","Fillmore County, Minnesota","20492","75","33","58","0","35",2014
"24","Freeborn County, Minnesota","29496","297","105","301","12","445",2014
"25","Goodhue County, Minnesota","43999","557","514","257","0","233",2014
"26","Grant County, Minnesota","5840","6","16","23","0","16",2014
"27","Hennepin County, Minnesota","886047","141240","8458","77744","484","27761",2014
"28","Houston County, Minnesota","18359","46","49","30","0","37",2014
"29","Hubbard County, Minnesota","19406","131","404","90","10","74",2014
"30","Isanti County, Minnesota","36720","235","199","279","6","73",2014
"31","Itasca County, Minnesota","42195","188","1406","182","32","157",2014
"32","Jackson County, Minnesota","9809","14","18","236","2","117",2014
"33","Kanabec County, Minnesota","15597","27","190","67","0","13",2014
"34","Kandiyohi County, Minnesota","38837","1239","213","193","0","1239",2014
"35","Kittson County, Minnesota","4423","20","6","20","0","3",2014
"36","Koochiching County, Minnesota","12332","97","427","63","0","1",2014
"37","Lac qui Parle County, Minnesota","6885","34","26","62","0","9",2014
"38","Lake County, Minnesota","10478","11","30","0","0","46",2014
"39","Lake of the Woods County, Minnesota","3767","35","15","27","0","0",2014
"40","Le Sueur County, Minnesota","26493","162","106","145","0","478",2014
"41","Lincoln County, Minnesota","5676","28","8","12","0","71",2014
"42","Lyon County, Minnesota","23169","692","138","813","0","756",2014
"43","McLeod County, Minnesota","34583","242","51","232","0","568",2014
"44","Mahnomen County, Minnesota","2691","33","2254","23","4","40",2014
"45","Marshall County, Minnesota","9223","32","43","15","0","35",2014
"46","Martin County, Minnesota","20038","75","36","106","0","36",2014
"47","Meeker County, Minnesota","22554","101","75","86","9","84",2014
"48","Mille Lacs County, Minnesota","23601","169","1399","115","0","75",2014
"49","Morrison County, Minnesota","32167","123","59","161","0","100",2014
"50","Mower County, Minnesota","36293","986","64","749","44","462",2014
"51","Murray County, Minnesota","8327","28","15","49","32","37",2014
"52","Nicollet County, Minnesota","30915","817","82","333","0","306",2014
"53","Nobles County, Minnesota","17811","860","53","1164","5","1316",2014
"54","Norman County, Minnesota","6292","29","125","34","12","51",2014
"55","Olmsted County, Minnesota","126696","7494","192","8271","10","1087",2014
"56","Otter Tail County, Minnesota","55104","625","231","321","8","384",2014
"57","Pennington County, Minnesota","13176","217","165","77","57","36",2014
"58","Pine County, Minnesota","26878","663","754","182","12","180",2014
"59","Pipestone County, Minnesota","8808","97","103","94","12","140",2014
"60","Polk County, Minnesota","29286","358","291","235","14","636",2014
"61","Pope County, Minnesota","10722","55","47","33","0","16",2014
"62","Ramsey County, Minnesota","364112","57758","3338","66564","151","9346",2014
"63","Red Lake County, Minnesota","3888","36","53","11","0","23",2014
"64","Redwood County, Minnesota","14117","104","792","545","0","104",2014
"65","Renville County, Minnesota","14550","108","134","83","0","339",2014
"66","Rice County, Minnesota","58410","2297","289","1335","64","1370",2014
"67","Rock County, Minnesota","9282","45","106","89","0","21",2014
"68","Roseau County, Minnesota","14618","92","156","412","0","29",2014
"69","St. Louis County, Minnesota","186183","3098","4347","1881","43","382",2014
"70","Scott County, Minnesota","116503","3938","995","7801","166","2008",2014
