"","CTYNAME","YEAR","AGE1519","AGE2024","AGE2529","AGE18ABOVE"
"1","Aitkin County, Minnesota",2010,"5.3","3.4","3.9","81.9"
"2","Anoka County, Minnesota",2010,"7.3","5.7","6.6","73.4"
"3","Becker County, Minnesota",2010,"6.5","4.9","5.2","75.5"
"4","Beltrami County, Minnesota",2010,"8.5","10.3","6.7","74.6"
"5","Benton County, Minnesota",2010,"6.4","8.4","9.0","74.9"
"6","Big Stone County, Minnesota",2010,"6.5","4.1","4.2","78.9"
"7","Blue Earth County, Minnesota",2010,"9.6","17.2","7.5","80.6"
"8","Brown County, Minnesota",2010,"7.4","6.6","5.1","77.6"
"9","Carlton County, Minnesota",2010,"6.6","5.2","5.5","76.1"
"10","Carver County, Minnesota",2010,"7.0","4.6","5.5","69.8"
"11","Cass County, Minnesota",2010,"6.3","4.5","4.6","77.9"
"12","Chippewa County, Minnesota",2010,"6.9","5.1","5.2","76.1"
"13","Chisago County, Minnesota",2010,"7.0","5.1","5.9","73.7"
"14","Clay County, Minnesota",2010,"10.8","11.0","6.4","76.9"
"15","Clearwater County, Minnesota",2010,"6.7","4.8","5.2","75.7"
"16","Cook County, Minnesota",2010,"4.2","4.2","5.2","82.8"
"17","Cottonwood County, Minnesota",2010,"6.3","4.1","5.9","75.6"
"18","Crow Wing County, Minnesota",2010,"6.5","5.2","5.7","76.5"
"19","Dakota County, Minnesota",2010,"7.1","5.7","6.9","73.2"
"20","Dodge County, Minnesota",2010,"7.3","4.6","6.2","70.9"
"21","Douglas County, Minnesota",2010,"6.6","6.1","6.0","78.2"
"22","Faribault County, Minnesota",2010,"7.2","4.8","4.6","77.7"
"23","Fillmore County, Minnesota",2010,"6.9","4.8","5.2","75.4"
"24","Freeborn County, Minnesota",2010,"6.4","4.9","5.3","77.9"
"25","Goodhue County, Minnesota",2010,"6.8","5.1","5.4","76.0"
"26","Grant County, Minnesota",2010,"6.1","4.7","5.1","78.4"
"27","Hennepin County, Minnesota",2010,"6.5","7.4","8.7","77.1"
"28","Houston County, Minnesota",2010,"7.1","4.6","5.0","76.1"
"29","Hubbard County, Minnesota",2010,"6.3","4.0","4.4","77.8"
"30","Isanti County, Minnesota",2010,"7.0","5.9","6.6","73.4"
"31","Itasca County, Minnesota",2010,"6.6","4.8","4.9","78.0"
"32","Jackson County, Minnesota",2010,"6.9","4.8","4.7","77.3"
"33","Kanabec County, Minnesota",2010,"6.9","4.8","5.1","75.8"
"34","Kandiyohi County, Minnesota",2010,"7.6","6.7","5.9","75.8"
"35","Kittson County, Minnesota",2010,"6.4","4.1","3.8","78.8"
"36","Koochiching County, Minnesota",2010,"6.1","4.4","4.9","78.6"
"37","Lac qui Parle County, Minnesota",2010,"6.3","3.8","4.1","79.0"
"38","Lake County, Minnesota",2010,"5.5","4.4","4.5","81.3"
"39","Lake of the Woods County, Minnesota",2010,"6.7","3.1","4.2","78.7"
"40","Le Sueur County, Minnesota",2010,"6.7","4.9","6.0","74.4"
"41","Lincoln County, Minnesota",2010,"5.8","4.2","4.7","77.9"
"42","Lyon County, Minnesota",2010,"8.3","9.4","7.0","75.8"
"43","McLeod County, Minnesota",2010,"6.6","5.4","6.0","74.3"
"44","Mahnomen County, Minnesota",2010,"7.3","5.7","5.7","70.8"
"45","Marshall County, Minnesota",2010,"6.8","4.1","4.9","76.7"
"46","Martin County, Minnesota",2010,"6.3","4.6","4.6","77.1"
"47","Meeker County, Minnesota",2010,"6.6","5.0","5.2","74.5"
"48","Mille Lacs County, Minnesota",2010,"7.2","5.0","6.3","74.2"
"49","Morrison County, Minnesota",2010,"7.0","5.4","6.0","75.1"
"50","Mower County, Minnesota",2010,"6.7","5.9","5.8","75.0"
"51","Murray County, Minnesota",2010,"6.1","3.9","3.9","78.2"
"52","Nicollet County, Minnesota",2010,"8.9","11.3","6.6","77.4"
"53","Nobles County, Minnesota",2010,"7.9","6.0","6.9","74.4"
"54","Norman County, Minnesota",2010,"6.6","3.6","4.6","75.8"
