"","V1","V2","V3"
"1","MINNESOTA CONGRESSIONAL DISTRICTS BY COUNTY","",""
"2","State","County","CongressionalDistrict"
"3","27","001","08"
"4","27","003","03"
"5","27","003","05"
"6","27","003","06"
"7","27","005","07"
"8","27","007","07"
"9","27","007","08"
"10","27","009","06"
"11","27","011","07"
"12","27","013","01"
"13","27","015","01"
"14","27","017","08"
"15","27","019","03"
"16","27","019","06"
"17","27","021","08"
"18","27","023","07"
"19","27","025","08"
"20","27","027","07"
"21","27","029","07"
"22","27","031","08"
"23","27","033","01"
"24","27","033","07"
"25","27","035","08"
"26","27","037","02"
"27","27","039","01"
"28","27","041","07"
"29","27","043","01"
"30","27","045","01"
"31","27","047","01"
"32","27","049","02"
"33","27","051","07"
"34","27","053","03"
"35","27","053","05"
"36","27","053","06"
"37","27","055","01"
"38","27","057","08"
"39","27","059","08"
"40","27","061","08"
"41","27","063","01"
"42","27","065","08"
"43","27","067","07"
"44","27","069","07"
"45","27","071","08"
"46","27","073","07"
"47","27","075","08"
"48","27","077","07"
"49","27","079","01"
"50","27","081","07"
"51","27","083","07"
"52","27","085","07"
"53","27","087","07"
"54","27","089","07"
"55","27","091","01"
"56","27","093","07"
"57","27","095","08"
"58","27","097","08"
"59","27","099","01"
"60","27","101","07"
"61","27","103","01"
"62","27","105","01"
"63","27","107","07"
"64","27","109","01"
"65","27","111","07"
"66","27","113","07"
"67","27","115","08"
"68","27","117","07"
"69","27","119","07"
"70","27","121","07"
"71","27","123","04"
"72","27","123","05"
"73","27","125","07"
"74","27","127","07"
"75","27","129","07"
"76","27","131","01"
"77","27","131","02"
"78","27","133","01"
"79","27","135","07"
"80","27","137","08"
"81","27","139","02"
"82","27","141","06"
"83","27","143","07"
"84","27","145","06"
"85","27","145","07"
"86","27","147","01"
"87","27","149","07"
"88","27","151","07"
"89","27","153","07"
"90","27","155","07"
"91","27","157","02"
"92","27","159","08"
"93","27","161","01"
"94","27","163","02"
"95","27","163","04"
"96","27","163","06"
"97","27","165","01"
"98","27","167","07"
"99","27","169","01"
"100","27","171","06"
"101","27","173","07"
