"CTYNAME","WHITE","BLACK","INDIAN","ASIAN","HAWAIIAN","OTHERS","YEAR","POPULATION 18-24","HIGHSCHOOL DEGREE","BACHELOR'S DEGREE","POPULATION >25","HIGHSCHOOL DEGREE >25","BACHELOR'S DEGREE >25","GRADUATE DEGREE >25","POVERTY RATE >25","Percent Married","Percent Divorced","EMPLOYMENT ESTIMATE","INCOME/BENEFITS","Citizen: Total","Citizen: US Born","Citizen: Puerto Rico/US Islands Born","Citizen: Born Abroad","Citizen: Naturalization","Not Citizen","AGE1519","AGE2024","AGE2529","AGE18ABOVE","POPULATION"
"Aitkin County, Minnesota",15225,68,346,53,1,21,2014,817,42.8,5.9,12343,40.8,10.2,4.6,23.4,62.2,11.5,13763,7903,15964,15736,10,62,105,51,5.3,3.4,3.9,81.9,15964
"Aitkin County, Minnesota",15225,68,346,53,1,21,2014,817,42.8,5.9,12343,40.8,10.2,4.6,23.4,62.2,11.5,13763,7903,15964,15736,10,62,105,51,4.9,3.4,3.8,82.4,15964
"Aitkin County, Minnesota",15225,68,346,53,1,21,2014,817,42.8,5.9,12343,40.8,10.2,4.6,23.4,62.2,11.5,13510,7637,15964,15736,10,62,105,51,5.3,3.4,3.9,81.9,15964
"Aitkin County, Minnesota",15225,68,346,53,1,21,2014,817,42.8,5.9,12343,40.8,10.2,4.6,23.4,62.2,11.5,13510,7637,15964,15736,10,62,105,51,4.9,3.4,3.8,82.4,15964
"Anoka County, Minnesota",289757,15995,2037,13369,72,5579,2014,27322,32.8,9.7,224628,28.8,19.5,7.7,19.2,54.7,10.6,251164,120026,336316,310812,247,2025,13205,10027,7.3,5.7,6.6,73.4,336316
"Anoka County, Minnesota",289757,15995,2037,13369,72,5579,2014,27322,32.8,9.7,224628,28.8,19.5,7.7,19.2,54.7,10.6,251164,120026,336316,310812,247,2025,13205,10027,6.8,5.8,6.4,74.9,336316
"Anoka County, Minnesota",289757,15995,2037,13369,72,5579,2014,27322,32.8,9.7,224628,28.8,19.5,7.7,19.2,54.7,10.6,262119,123446,336316,310812,247,2025,13205,10027,7.3,5.7,6.6,73.4,336316
"Anoka County, Minnesota",289757,15995,2037,13369,72,5579,2014,27322,32.8,9.7,224628,28.8,19.5,7.7,19.2,54.7,10.6,262119,123446,336316,310812,247,2025,13205,10027,6.8,5.8,6.4,74.9,336316
"Becker County, Minnesota",29021,147,2406,144,7,97,2014,2236,38.2,5.1,22617,33.1,15.4,6.2,25.2,57.4,10.4,25295,13345,32971,32316,2,82,234,337,6.5,4.9,5.2,75.5,32971
"Becker County, Minnesota",29021,147,2406,144,7,97,2014,2236,38.2,5.1,22617,33.1,15.4,6.2,25.2,57.4,10.4,25295,13345,32971,32316,2,82,234,337,6.1,4.8,5.2,75.4,32971
"Becker County, Minnesota",29021,147,2406,144,7,97,2014,2236,38.2,5.1,22617,33.1,15.4,6.2,25.2,57.4,10.4,25793,13534,32971,32316,2,82,234,337,6.5,4.9,5.2,75.5,32971
"Becker County, Minnesota",29021,147,2406,144,7,97,2014,2236,38.2,5.1,22617,33.1,15.4,6.2,25.2,57.4,10.4,25793,13534,32971,32316,2,82,234,337,6.1,4.8,5.2,75.4,32971
"Beltrami County, Minnesota",33650,386,9109,415,49,118,2014,6554,22.7,7.2,27268,26.9,18.1,8.7,37.4,45.7,11.1,33986,16759,45236,44020,0,336,469,411,8.5,10.3,6.7,74.6,45236
